#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS
0127+23, 3C43,, 1.46, Q,,,Van Breugel, 2.4
0134+32, 3C48,, 0.37, Q,,,Van Breugel, 0.38
0138+13, 3C49,, 0.62, G,,,Van Breugel, 1.1
0221+27, 3C67,, 0.31, G,,,Van Breugel, 2.5
0429+41, 3C119,, 0.41, Q,,,Van Breugel, 0.1
0518+16, 3C138,, 0.76, Q,,,Van Breugel, 0.43
0538+49, 3C147,, 0.55, Q,,,Van Breugel, 0.65
0740+38, 3C186,, 1.06, Q,,,Van Breugel, 1.8
0758+14, 3C190,, 1.2, Q,,,Van Breugel, 3.1
0908+43, 3C216,, 0.67, Q,,,Van Breugel, 9.
1005+07, 3C237,, 0.88, G,,,Van Breugel, 1.4
1019+22, 3C241,, 1.62, G,,,Van Breugel, 0.9
1203+64, 3C268.3,, 0.37, G,,,Van Breugel, 1.45
1328+30, 3C286,, 0.85, Q,,,Van Breugel, 2.6
1328+27, 3C287,, 1.06, Q,,,Van Breugel, 0.14
1416+06, 3C298,, 1.44, Q,,,Van Breugel, 1.6
1419+41, 3C299,, 0.37, Q,,,Van Breugel, 11.9
1443+77, 3C303.1,, 0.27, Q,,,Van Breugel, 1.8
1447+77, 3C305.1,, 1.13, G,,,Van Breugel, 2.4
1458+71, 3C309.1,, 0.9, Q,,,Van Breugel, 1.2
1517+20, 3C318,, 0.75, G,,,Van Breugel, 0.8
1634+62, 3C343,, 0.99, Q,,,Van Breugel, 0.3
1637+62, 3C343.1,, 0.75, G,,,Van Breugel, 0.4
1641+17, 3C346,, 0.16, G,,,Van Breugel, 14.
1828+48, 3C380,, 0.69, Q,,,Van Breugel, 16.
2249+18, 3C454,, 1.76, Q,,,Van Breugel, 0.8
