#Van Breugel et al 1991 A&A accepted
#NAME   3C#     Z       ID      S1.5    LAS/"
0127+23 3C43    1.46    Q       2.857   2.4
0134+32 3C48    0.37    Q       15.843  0.38
0138+13 3C49    0.62    G       2.630   1.1
0221+27 3C67    0.31    G       2.935   2.5
0429+41 3C119   0.41    Q       8.545   0.1
0518+16 3C138   0.76    Q       8.314   0.43
0538+49 3C147   0.55    Q       21.165  0.65
0740+38 3C186   1.06    Q       1.130   1.8
0758+14 3C190   1.2     Q       2.470   3.1
0908+43 3C216   0.67    Q       3.745   9.
1005+07 3C237   0.88    G       6.180   1.4
1019+22 3C241   1.62    G       1.600   0.9
1203+64 3C268.3 0.37    G       3.610   1.45
1328+30 3C286   0.85    Q       14.450  2.6
1328+27 3C287   1.06    Q       6.760   0.14
1416+06 3C298   1.44    Q       5.680   1.6
1419+41 3C299   0.37    Q       2.700   11.9
1443+77 3C303.1 0.27    Q       1.685   1.8
1447+77 3C305.1 1.13    G       1.540   2.4
1458+71 3C309.1 0.9     Q       7.230   1.2
1517+20 3C318   0.75    G       2.525   0.8
1634+62 3C343   0.99    Q       4.710   0.3
1637+62 3C343.1 0.75    G       4.350   0.4
1641+17 3C346   0.16    G       3.525   14.
1828+48 3C380   0.69    Q       13.650  16.
2249+18 3C454   1.76    Q       2.035   0.8
