# Name,RA2000,Dec2000,flux_16cm,flux_4cm,flux_15mm,flux_7mm,flux_3mm
0003-066, 00:06:14, -06:23:35, 2.410, 2.442, 2.493, 4.139, 3.913
0003-003, 00:06:23, -00:04:24, 2.583, 1.172, 0.445, 0.122, 0.048
0008-421, 00:10:53, -41:53:11, 3.175, 1.118, 0.194, 0.043, 0.006
0019-000, 00:22:25, +00:14:56, 2.234, 1.039, 0.308, 0.127, 0.025
0022-423, 00:24:43, -42:02:04, 2.978, 1.665, 0.359, 0.148, 0.013
0023-263, 00:25:49, -26:02:13, 6.812, 3.271, 1.014, 0.496, 0.189
0047-579, 00:49:59, -57:38:27, 2.063, 1.518, 1.051, 0.897, 0.488
0056-001, 00:59:06, +00:06:52, 2.037, 1.351, 0.771, 0.519, 0.492
0106+013, 01:08:39, +01:35:00, 2.883, 3.345, 3.043, 2.143, 
0114-211, 01:16:51, -20:52:07, 2.792, 1.111, 0.308, 0.114, 0.036
0159-117, 02:01:57, -11:32:33, 2.001, 1.241, 0.591, 0.392, 0.165
0208-512, 02:10:46, -51:01:02, 2.108, 2.229, 2.073, 1.857, 1.112
0237-233, 02:40:08, -23:09:16, 5.157, 2.598, 1.043, 0.579, 0.232
0240-002, 02:42:41, -00:00:47, 2.131, 0.879, 0.158, 0.050, 0.041
0252-712, 02:52:46, -71:04:35, 4.001, 1.494, 0.334, 0.119, -0.004
0302-623, 03:03:51, -62:11:26, 3.380, 1.911, 1.226, 0.912, 0.569
0320+053, 03:23:20, +05:34:12, 2.002, 0.736, 0.187, , 0.001
0403-132, 04:05:34, -13:08:14, 3.302, 2.637, 0.844, 0.985, 0.555
0407-658, 04:08:20, -65:45:09, 9.631, 2.720, 0.510, 0.159, 0.020
0420-625, 04:20:56, -62:23:39, 2.241, 0.817, 0.089, 0.069, 0.019
0420-014, 04:23:16, -01:20:33, 2.945, 4.419, 2.746, 2.855, 1.952
0430+052, 04:33:11, +05:21:16, 2.547, 1.941, 2.197, 1.968, 1.782
0438-436, 04:40:17, -43:33:09, 3.525, 1.661, 1.037, 0.706, 0.249
0440-003, 04:42:39, -00:17:43, 2.336, 3.248, 1.782, 0.951, 0.430
0451-282, 04:53:15, -28:07:37, 2.070, 2.069, 2.153, 1.766, 1.437
0454-463, 04:55:51, -46:15:59, 3.096, 2.885, 2.186, 1.604, 1.138
0500+019, 05:03:21, +02:03:05, 2.312, 1.704, 0.745, 0.377, 0.049
0537-441, 05:38:50, -44:05:09, 4.844, 3.768, 4.496, 4.129, 3.079
0607-157, 06:09:41, -15:42:41, 2.891, 4.550, 3.436, 2.714, 2.805
0614-349, 06:16:36, -34:56:17, 3.191, 1.542, 0.406, 0.098, 0.162
0624-058, 06:27:10, -05:53:05, 12.015, 5.706, 1.337, 0.482, 0.432
0637-752, 06:35:47, -75:16:17, 5.523, 4.391, 3.231, 2.274, 1.875
0648-165, 06:50:25, -16:37:40, 2.746, 2.434, 2.015, 1.121, 1.011
0704-231, 07:06:33, -23:11:38, 2.726, 1.114, 0.563, 0.273, 0.213
0723-008, 07:25:51, -00:54:57, 3.317, 7.336, 6.077, 4.928, 4.004
0727-115, 07:30:19, -11:41:13, 3.173, 5.467, 4.122, 3.515, 2.169
0733-174, 07:35:46, -17:35:49, 2.411, 1.299, 0.545, 0.278, 0.085
0741-063, 07:44:22, -06:29:36, 6.072, 2.572, 0.795, 0.295, 0.079
0823-500, 08:25:27, -50:10:38, 5.948, 2.968, 0.680, 0.230, 0.107
0826-373, 08:28:05, -37:31:06, 2.551, 1.874, 1.011, 0.786, 0.962
0834-201, 08:36:39, -20:16:60, 2.485, 2.830, 1.880, 1.110, 1.077
0834-196, 08:37:11, -19:51:57, 3.473, 1.433, 0.397, 0.145, 0.100
0859-140, 09:02:17, -14:15:31, 2.395, 1.534, 0.754, 0.478, 0.502
0919-260, 09:21:29, -26:18:43, 2.258, 1.615, 1.687, 1.670, 1.078
0941-080, 09:43:37, -08:19:31, 2.205, 1.114, 0.358, 0.164, 0.028
1005+077, 10:08:00, +07:30:17, 4.392, 0.721, 0.239, 0.094, 0.226
1015-314, 10:18:09, -31:44:14, 2.757, 1.319, 0.449, 0.228, 0.087
1018-426, 10:20:03, -42:51:42, 2.239, 0.878, 0.047, 0.015, 0.023
1034-293, 10:37:16, -29:34:03, 2.327, 1.563, 1.570, 1.640, 1.533
1055+018, 10:58:30, +01:33:59, 2.605, 3.011, 5.451, 5.000, 5.082
1127-145, 11:30:07, -14:49:27, 4.470, 3.540, 3.391, 2.521, 1.555
1148-001, 11:50:44, -00:23:54, 2.384, 1.560, 0.845, 0.618, 
1151-348, 11:54:22, -35:05:29, 5.157, 2.872, 1.021, 0.519, 0.454
1215-457, 12:18:06, -46:00:29, 3.919, 2.141, 0.750, 0.393, 0.303
1226+023, 12:29:07, +02:03:09, 29.420, 25.293, 14.116, 9.638, 11.513
1245-197, 12:48:24, -19:59:19, 4.194, 2.198, 0.724, 0.326, 
1253-055, 12:56:11, -05:47:22, 12.089, 23.404, 26.289, 20.977, 18.344
1306-095, 13:08:39, -09:50:33, 3.355, 1.976, 0.666, 0.030, 0.319
1308-220, 13:11:39, -22:16:42, 3.319, 1.100, 0.209, 0.058, 0.031
1320-446, 13:23:04, -44:52:34, 2.258, 1.030, 0.272, 0.114, 0.041
1322-427, 13:25:28, -43:01:09, 5.408, 6.438, 8.881, 8.214, 17.844
