#Name           RA              Dec             16cm    4cm     1.5cm   7mm     3mm
#               J2000           J2000           1.7GHz  8.4GHz  22GHz   43GHz  100GHz
0003-066	00:06:14	-06:23:35	1.969	2.442	2.493	4.139	3.913
0106+013	01:08:39	+01:35:00	3.305	3.345	3.043	2.143	0.309
0130-171	01:32:43	-16:54:49	1.422	1.965	2.614	1.269	1.380
0208-512	02:10:46	-51:01:02	2.224	2.201	2.073	2.695	1.112
0238-084	02:41:05	-08:15:21	0.658	1.321	2.153	1.838	2.112
0252-549	02:53:29	-54:41:51	0.946	2.009	2.198	1.893	1.458
0332-403	03:34:14	-40:08:25	1.476	2.400	2.261	2.838	0.747
0402-362	04:03:54	-36:05:02	0.893	1.707	2.678	7.951	1.550
0420-014	04:23:16	-01:20:33	2.762	4.419	2.746	2.855	1.952
0426-380	04:28:40	-37:56:20	1.137	2.422	4.230	6.190	2.499
0430+052	04:33:11	+05:21:16	1.990	1.941	2.197	1.968	1.782
0451-282	04:53:15	-28:07:37	2.070	2.069	2.153	1.766	1.437
0454-463	04:55:51	-46:15:59	3.096	3.000	2.082	1.475	1.138
0454-234	04:57:03	-23:24:52	1.203	3.414	2.776	4.133	1.304
0458-020	05:01:13	-01:59:14	0.628	1.710	2.409	2.105	1.207
0521-365	05:22:58	-36:27:31	1.885	5.736	4.608	4.670	5.831
0537-441	05:38:50	-44:05:09	3.545	4.371	4.934	6.240	3.079
0605-085	06:07:60	-08:34:50	1.851	1.857	4.678	4.004	3.615
0607-157	06:09:41	-15:42:41	3.534	4.550	3.436	2.714	2.805
0637-752	06:35:47	-75:16:17	4.808	4.785	3.184	2.449	1.875
0648-165	06:50:25	-16:37:40	2.571	2.434	2.015	1.121	1.011
0653-033	06:56:11	-03:23:07	0.857	0.890	2.017	1.029	1.543
0723-008	07:25:51	-00:54:57	5.686	7.336	6.077	4.928	4.004
0727-115	07:30:19	-11:41:13	3.876	5.467	4.122	3.515	2.169
0823+033	08:25:50	+03:09:25	1.161	1.211	2.107	1.917	1.706
1055+018	10:58:30	+01:33:59	2.605	3.011	5.451	5.000	5.082
1057-797	10:58:43	-80:03:54	1.243	2.041	2.257	2.309	3.374
1127-145	11:30:07	-14:49:27	4.470	3.540	3.391	2.521	1.555
J1152-0841	11:52:17	-08:41:03	1.023	1.035	2.439	0.491	
3C273   	12:29:07	+02:03:09	29.420	26.116	14.008	15.591	11.513
3C279   	12:56:11	-05:47:22	12.089	22.120	23.406	20.074	18.344
1322-427	13:25:28	-43:01:09	5.408	3.164	8.084	7.530	17.844
1334-127	13:37:40	-12:57:25	2.580	4.919	7.019	7.097	5.862
1421-490	14:24:32	-49:13:50	7.373	5.259	2.476	1.638	1.168
1424-418	14:27:56	-42:06:19	4.733	7.617	7.120	6.289	6.024
1510-089	15:12:51	-09:05:60	3.180	3.171	3.108	3.068	3.083
1514-241	15:17:42	-24:22:19	2.346	2.327	2.215	2.350	1.888
1548+056	15:50:35	+05:27:10	3.459	3.019	2.267	1.897	2.063
1613-586	16:17:18	-58:48:08	4.782	4.437	3.157	2.474	1.632
1622-253	16:25:47	-25:27:38	2.105	1.430	2.600	1.978	2.170
1657-261	17:00:53	-26:10:52	0.809	2.204	2.011	0.898	1.281
1718-649	17:23:41	-65:00:37	4.937	4.504	2.215	1.397	0.729
1730-130	17:33:03	-13:04:50	4.303	4.246	4.919	4.192	3.250
1741-038	17:43:59	-03:50:05	3.122	3.694	4.315	5.473	3.930
1749+096	17:51:33	+09:39:01	2.272	2.674	3.139	3.559	3.002
1824-582	18:29:12	-58:13:55	0.547	0.808	2.234	0.941	0.335
1830-210	18:33:40	-21:03:40	13.268	6.510	2.987	3.455	2.511
1920-211	19:23:32	-21:04:33	1.816	1.846	2.368	1.783	2.290
1921-293	19:24:51	-29:14:30	12.818	10.684	11.662	7.213	6.702
1954-388	19:57:60	-38:45:06	1.629	2.336	2.318	2.463	1.572
1958-179	20:00:57	-17:48:58	0.447	1.629	3.078	3.040	4.469
2052-474	20:56:16	-47:14:48	2.424	2.137	2.449	2.263	2.037
2131-021	21:34:10	-01:53:17	1.942	2.285	2.801	2.509	4.173
2134+004	21:36:39	+00:41:54	6.060	9.855	6.529	4.233	3.471
2145+067	21:48:05	+06:57:39	3.735	4.471	3.067	3.262	4.235
2155-152	21:58:06	-15:01:09	3.508	4.142	3.604	2.969	2.134
2203-188	22:06:10	-18:35:39	6.4	4.108	2.374	1.365	0.709
2223-052	22:25:47	-04:57:01	5.7	4.691	3.825	2.070	1.929
CTA102  	22:32:36	+11:43:51	6.5	4.718	3.573	2.5	
2255-282	22:58:06	-27:58:21	1.504	2.923	2.168	1.738	5.557
2355-534	23:57:53	-53:11:14	1.224	2.183	2.058	1.567	1.496
