#,SRC,Cal Tag,RA,Dec
0,0000-177,radec gaincal,00:03:22.1,-17:27:14
2,0022+002,radec gaincal,00:22:25.43,+00:14:56.16
3,0023-263,radec gaincal,00:25:49.15625,-26:02:12.6168
4,0024-420,radec gaincal,00:24:42.99,-42:02:03.95
5,0106+013,radec gaincal,01:08:38.8,+01:35:00
6,0131-522,radec gaincal,01:33:05.76,-52:00:03.94
7,0220-019,radec gaincal,02:20:54.28,-01:56:51.8
8,0240-231,radec gaincal,02:40:08.17,-23:09:15.73
10,0302-623,radec gaincal,03:03:50.632,-62:11:25.55
11,0332-403,radec gaincal,03:34:13.65,-40:08:25.40
12,0403-132,radec gaincal,04:05:34,-13:08:14
13,0431+206,radec gaincal,04:31:03.7620,20:37:34.250
15,0530+135,radec gaincal,05:30:56.417,13:31:55.150
16,0538-440,radec gaincal,05:38:50,-44:05:09.
18,0607-085,radec gaincal,06:07:59.699,-08:34:49.978
19,0637-752,radec gaincal,06:35:46.51,-75:16:16.81
20,0805-077,radec gaincal,08:08:15.536036,-07:51:09.886340
21,0823+031,radec gaincal,08:25:50.34,03:09:24.52
22,0828-375,radec gaincal,08:28:04.78,-37:31:06.28
23,0858+141,radec gaincal,08:58:41.55,14:09:44.63
25,0943-0819,radec gaincal,09:43:36.86,-08:19:32.0
26,1005+077,radec gaincal,10:08:00,+07:30:17
27,1018-317,radec gaincal,10:18:09.2675,-31:44:13.983
28,1021+2159,radec gaincal,10:21:54.529,21:59:30.440
29,1039-47,radec gaincal,10:41:44.65,-47:40:00.06
30,1049-53,radec gaincal,10:51:09.09981,-53:44:46.5397
31,1059-63,radec gaincal,11:01:54.38,-63:25:22.60
32,1130-1449,radec gaincal,11:30:07,-14:49:27
33,1143+221,radec gaincal,11:43:25.09,+22:06:56.07
34,1148-001,radec gaincal,11:50:43.87,-00:23:54.20
35,1151-348,radec gaincal,11:54:21.787,-35:05:29.0763
36,1254+116,radec gaincal,12:54:38.256,11:41:05.89
37,1311-222,radec gaincal,13:11:39.3347,-22:16:41.748
38,1315-46,radec gaincal,14:24:32.23734,-49:13:49.7437
39,1329-665,radec gaincal,13:32:37.53,-66:46:50.35
40,1352-63,radec gaincal,13:55:46.63,-63:26:42.62
