id , Source name , Other name , RA (J2000.0) , Dec (J2000.0) , Redshift , Flux density 1.4/0.843GHz(mJy) , Flux density143GHz(mJy)
1 , 5BZQJ1229+0203 , 3C273 , 12 29 06.7 , +02 03 08.6 , 0.158 , 54992 , 17880
2 , 5BZUJ0319+4130 , NGC1275 , 03 19 48.1 , +41 30 42.0 , 0.018 , 22830 , 0
3 , 5BZUJ1819-6345 , PKS1814-63 , 18 19 34.9 , -63 45 48.2 , 0.063 , 19532 , 0
4 , 5BZUJ0522-3627 , PKS0521-36 , 05 22 57.9 , -36 27 30.8 , 0.056 , 15620 , 3815
5 , 5BZUJ1829+4844 , 3C380.0 , 18 29 31.7 , +48 44 46.2 , 0.695 , 13753 , 1008
6 , 5BZQJ1924-2914 , OV-236 , 19 24 51.0 , -29 14 30.0 , 0.353 , 13387 , 9129
7 , 5BZQJ2253+1608 , 3C454.3 , 22 53 57.7 , +16 08 53.5 , 0.859 , 12657 , 27943
8 , 5BZQJ1833-2103 , PKSB1830-210 , 18 33 39.9 , -21 03 39.7 , 2.507 , 10896 , 1537
9 , 5BZQJ1256-0547 , 3C279 , 12 56 11.1 , -05 47 21.5 , 0.536 , 9711 , 9712
10 , 5BZGJ0834+5534 , 1Jy0831+557 , 08 34 54.9 , +55 34 22.0 , 0.242 , 8283 , 0
11 , 5BZUJ1459+7140 , 3C309.1 , 14 59 07.5 , +71 40 19.8 , 0.91 , 7468 , 338
12 , 5BZQJ2225-0457 , 3C446 , 22 25 47.2 , -04 57 01.4 , 1.404 , 7412 , 2545
13 , 5BZQJ2232+1143 , 4C-11.69 , 22 32 36.4 , +11 43 50.9 , 1.037 , 7202 , 1975
14 , 5BZQJ1642+3948 , 3C345 , 16 42 58.8 , +39 48 37.0 , 0.593 , 7099 , 4051
15 , 5BZQJ2206-1835 , PKS2203-18 , 22 06 10.4 , -18 35 38.6 , 0.619 , 6399 , 545
16 , 5BZQJ0440-4333 , PKS0438-43 , 04 40 17.1 , -43 33 08.6 , 2.852 , 6362 , 325
17 , 5BZQJ1556-7914 , PKS1549-79 , 15 56 58.8 , -79 14 04.3 , 0.152 , 6165 , 0
18 , 5BZQJ2038+5119 , 3C 418.0 , 20 38 37.0 , +51 19 12.6 , 1.686 , 6081 , 972
19 , 5BZBJ2202+4216 , BLLAC , 22 02 43.2 , +42 16 40.0 , 0.069 , 6051 , 4377
20 , 5BZQJ1733-1304 , NRAO 530 , 17 33 02.7 , -13 04 49.5 , 0.902 , 5990 , 2220
21 , 5BZUJ1325-4301 , CENTAURUS-A , 13 25 27.6 , -43 01 08.7 , 0.002 , 5700 , 17923
22 , 5BZQJ0743-6726 , PKS0743-67 , 07 43 31.6 , -67 26 25.5 , 1.512 , 5638 , 439
23 , 5BZQJ1130-1449 , PKS1127-145 , 11 30 07.0 , -14 49 27.4 , 1.184 , 5622 , 1914
24 , 5BZQJ0635-7516 , PKS0637-75 , 06 35 46.5 , -75 16 16.7 , 0.653 , 5283 , 2868
25 , 5BZQJ0359+5057 , NRAO150 , 03 59 29.7 , +50 57 50.1 , 1.512 , 4297 , 4821
26 , 5BZUJ0909+4253 , 3C216 , 09 09 33.4 , +42 53 46.5 , 0.67 , 4234 , 487
27 , 5BZQJ0405-1308 , PKS0403-13 , 04 05 34.0 , -13 08 13.7 , 0.571 , 4218 , 512
28 , 5BZUJ0204+1514 , 4C15.05 , 02 04 50.4 , +15 14 11.0 , 0.833 ? , 4068 , 435
29 , 5BZQJ1617-7717 , PKS1610-77 , 16 17 49.2 , -77 17 18.4 , 1.71 , 4044 , 768
30 , 5BZQJ1613+3412 , OS319 , 16 13 41.0 , +34 12 47.9 , 1.397 , 4024 , 703
31 , 5BZQJ1927+7358 , 4C73.18 , 19 27 48.4 , +73 58 01.5 , 0.302 , 3950 , 2424
32 , 5BZQJ0841+7053 , 4C71.07 , 08 41 24.3 , +70 53 42.2 , 2.218 , 3823 , 0
33 , 5BZBJ0538-4405 , PKS0537-441 , 05 38 50.3 , -44 05 08.9 , 0.892 , 3729 , 5955
34 , 5BZQJ1510-0543 , 4C-05.64 , 15 10 53.5 , -05 43 07.3 , 1.191 , 3570 , 418
35 , 5BZQJ0745+1011 , PKS0742+10 , 07 45 33.0 , +10 11 12.6 , 2.624 , 3506 , 0
36 , 5BZUJ0210-5101 , PKS0208-512 , 02 10 46.1 , -51 01 01.8 , 1.003 , 3493 , 1297
37 , 5BZQJ2136+0041 , PKS2134+004 , 21 36 38.5 , +00 41 54.2 , 1.941 , 3473 , 988
38 , 5BZUJ0433+0521 , 3C120 , 04 33 11.0 , +05 21 15.5 , 0.033 , 3440 , 1480
39 , 5BZUJ1058+0133 , 4C01.28 , 10 58 29.6 , +01 33 58.7 , 0.89 , 3220 , 2922
40 , 5BZQJ1902+3159 , 3C395 , 19 02 55.9 , +31 59 41.7 , 0.635 , 3204 , 283
41 , 5BZQJ1427-4206 , PKS1424-41 , 14 27 56.2 , -42 06 19.4 , 1.522 , 3190 , 1769
42 , 5BZQJ2329-4730 , PKS2326-477 , 23 29 17.7 , -47 30 19.1 , 1.302 , 3180 , 698
43 , 5BZQJ1923-2104 , PMNJ1923-2104 , 19 23 32.1 , -21 04 33.3 , 0.874 , 3167 , 2065
44 , 5BZQJ0957+5522 , 4C55.17 , 09 57 38.1 , +55 22 57.7 , 0.896 , 3079 , 502
45 , 5BZQJ2158-1501 , PKS2155-152 , 21 58 06.2 , -15 01 09.2 , 0.672 , 3021 , 809
46 , 5BZUJ1602+3326 , 4C33.38 , 16 02 07.2 , +33 26 53.0 , 1.1 ? , 2991 , 248
47 , 5BZUJ0407-1211 , PKS 0405-12 , 04 07 48.4 , -12 11 36.7 , 0.573 , 2940 , 338
48 , 5BZQJ0902-1415 , PKS0859-14 , 09 02 16.8 , -14 15 30.8 , 1.333 , 2898 , 0
49 , 5BZQJ0927+3902 , 4C39.25 , 09 27 03.0 , +39 02 20.9 , 0.695 , 2885 , 3597
50 , 5BZQJ2203+3145 , 4C31.63 , 22 03 14.9 , +31 45 38.3 , 0.295 , 2878 , 2036
51 , 5BZUJ0416-2056 , 1Jy0413-210 , 04 16 04.3 , -20 56 27.4 , 0.807 , 2779 , 0
52 , 5BZQJ1150-0023 , 4C-00.47 , 11 50 43.8 , -00 23 54.2 , 1.976 , 2774 , 0
53 , 5BZQJ0730-1141 , PKS0727-11 , 07 30 19.1 , -11 41 12.5 , 1.589 , 2760 , 3446
54 , 5BZQJ0609-1542 , PKS0607-15 , 06 09 40.9 , -15 42 40.7 , 0.324 , 2742 , 1663
55 , 5BZQJ0532+0732 , PLCKERC217G196.8 , 05 32 38.9 , +07 32 43.2 , 1.254 , 2729 , 768
56 , 5BZQJ0423-0120 , PKS0420-01 , 04 23 15.7 , -01 20 33.1 , 0.916 , 2726 , 5267
