B name,J name,,RA (J2000),Dec (J2000),Flux (1.8GHz),comments
B0349-278,J0351-2744,radec gaincal,03:51:35,-27:44:40,4.4,
B0407-658,J0408-6545,radec gaincal,04:08:16,-65:45:26,14.4,ICRF source?
B0519-208,J0521-2047,radec gaincal,05:21:38,-20:47:39,1.8,
B0744-673,J0743-6726,radec gaincal,07:43:31,-67:26:26,3.7,ICRF source
B1517-242,J1517-2422,radec gaincal,15:17:42,-24:22:15,2.3,vlba calibrator
B1815-519,J1818-5158,radec gaincal,18:18:06,-51:58:09,2.5,some very extended emission also present
B1827-360,J1830-3602,radec gaincal,18:30:57,-36:02:28,10.2,Molonglo and VLA calibrator
B1924-291,J1924-2914,radec gaincal,19:24:50,-29:14:30,11.5,ICRF source
B1934-638,J1939-6342,radec bpcal,19:39:25,-63:42:45,15.9,ATCA primary calibrator
B1954-552,J1958-5509,radec gaincal,19:58:15,-55:09:45,6.2,Molonglo calibrator
B2104-256,J2107-2526,radec gaincal,21:07:21,-25:26:48,6,NGC7018
B2131-203,J2131-2036,radec gaincal,21:31:01,-20:36:56,2,Vlba calibrator
B2134-470,J2138-4646,radec gaincal,21:38:01,-46:46:40,1.4,
PKS1740-517,,radec gaincal,17:44:25,-51:44:43,6.7,ATCA calibrator
