#Name           Tag  RA         Dec       mag   z      ztypeG/Q alpha   dalpha  a2 size/kpc S1.4 S2.7 S5   S8.4 S20  
PKS J0024-4202  G,k  00:24:42.95 -42:02:03.  20.2  0.937     G     0.92  0.008 0.77   15    2.78 2.93 1.85 0.91 0.29
PKS J0025-2602  C,k  00:25:49.18 -26:02:12.  18.8  0.322     G     0.54  0.02  0.7     3.2  8.37 5.94 3.64 2.15 0.98
PKS J0116-2052  C,k  01:16:51.47 -20:52:06.  21.6   1.41     G     0.76  0.02  1.07    6    3.81 2.44 1.27 0.64 0.24
PKS J0203-4349  C,k  02:03:40.75 -43:49:50.  18.7   0.45 P   G     0.73  0.01  0.85    8.6  2.67 1.81 1.03 0.58 0.23
PKS J0240-2309  G,k  02:40:08.13 -23:09:15.  16.1  2.223     Q     0.52  0.009 0.76    8.5  4.4  2.41 3.34  2.2  0.9
PKS J0252-7104  C,k  02:52:46.29 -71:04:33.  19.2  0.568     G     1.02  0.006 1.14    1.6  5.59 3.42 1.69  0.8 0.32
PKS J0420-6223  C,k  04:20:56.17 -62:23:38. >21.5   0.81 P   G     1.1   0.005 1.12   15.9  3.26 1.94 0.93 0.47 0.17
PKS J0616-3456  C,k  06:16:35.97 -34:56:17.  18.7  0.329     G     0.56  0.006 0.63    8.9  2.7  1.96 1.31 0.78 0.44
PKS J0943-0819  G,k  09:43:37.01 -08:19:30.  17.9  0.228     G     0.78  0.001 0.79    3.8  2.48 1.73 1.12 0.75 0.33
PKS J1154-3505  G,k  11:54:21.79 -35:05:29.  17.8  0.258     G     0.69  0.001 0.66    0.7  6.1  4.12 2.56 1.92 0.89
PKS J1218-4600  C,k  12:18:06.26 -46:00:30.  18.9  0.529     Q     0.53  0.007 0.82    6.9  4.6  3.3  2.29 1.27  0.7
PKS J1223-4235  C,k  12:23:43.40 -42:35:32.  15.7  0.176     G     0.63   0.03 0.78    6.2  2.73 1.62 1.1  0.63 0.33
PKS J1248-1959  G,k  12:48:23.87 -19:59:18.  20.3  1.275     Q     0.84      0 0.76   12.6  4.9  3.94 2.42 1.36 0.69
PKS J1308-0950  C,k  13:08:39.06 -09:50:32.  18.7  0.464     G     0.54  0.004 0.69    2.7  4.26 2.88 1.88 1.11 0.73
PKS J1311-2216  C    13:11:39.37 -22:16:41.          0.8     Q     1.04   0.01  1.3   15.8  5.24 2.43 1.24 0.45 0.19
PKS J1323-4452  C,k  13:23:04.25 -44:52:33.  18.6   1.95     Q     0.86  0.007 0.88     17  3.47 1.79 1.06 0.52 0.25
PKS J1526-1351  C,k  15:26:59.47 -13:51:00.  19.6  1.687     Q     0.52  0.009 0.58    3.4  2.4  1.7  1.31 0.82 0.39
PKS J1744-5144  G,k  17:44:25.43 -51:44:45.  20.8   0.63 P   G     0.57  0.003 0.72    0.4       4.6  3.9  2.37 1.24
PKS J1818-5158  C,k  18:18:07.11 -51:58:11.         0.48 P   Q     1.3   0.005 1.51   16.1  3.5  1.6  0.72 0.38 0.07
PKS J1819-6345  C,k  18:19:34.99 -63:45:48.  15.6 0.0627     G     0.86  0.005 0.92    0.5 13.34 8.8  5.14 2.95 1.71
PKS J1830-3602  G,k  18:30:58.88 -36:02:30.  14.1            G     1.47  0.003 1.34    3.4  7.12 3.54 1.32 0.51 0.14
PKS J1939-6342  G,k  19:39:24.83 -63:42:45.  17.5  0.183     G     1.3                 0.2 16.4 11.5  5.66 3    0.96
PKS J1957-4222  C,k  19:57:15.31 -42:22:20.  16.5   0.82 P   Q     0.93  0.009 0.95   15.2  3.25 1.9  0.92 0.43 0.15
PKS J2011-0644  G,k  20:11:14.23 -06:44:03.  21.5  0.547     G     0.74  0.002 0.73    0.2  2.6  2.09 1.44 0.77 0.37
PKS J2137-2042  C,k  21:37:50.02 -20:42:31.  19.3  0.636     G     0.57   0.02 0.82    1.7       2.49 1.55 0.76 0.41
PKS J2152-2828  C    21:52:03.79 -28:28:28.  19.2  0.479     G     0.59  0.007 0.67   11.9  2.75 1.98 1.25 0.75 0.37
