Cul,n_Cul,l_S(160),S(160),l_S(80),S(80),SpIndex,_RA.icrs,_DE.icrs
 , , ,Jy, ,Jy, ,h:m:s,d:m:s
--------,-,-,------,-,----,-----,----------,---------
0106+130,*, ,71.9, ,103,-0.52,01 08 52.3,+13 19 08
0134+328, , ,67.7, ,86,-0.35,01 37 44.8,+33 09 06
0356+102,*, ,49.2, ,90,-0.87,03 58 54.6,+10 26 02
0433+295, , ,247, ,410,-0.73,04 37 04.6,+29 41 16
0442-282, , ,40.9, ,68,-0.73,04 44 37.2,-28 09 42
0518-458,*, ,452, ,    ,     ,05 19 46.3,-45 46 33
0521-364, , ,72, ,99,-0.46,05 22 57.0,-36 27 08
0531+219, , ,1256, ,1648,-0.39,05 34 30.9,+22 00 53
0624-058, , ,74.9, ,111,-0.57,06 27 10.9,-05 53 21
0915-118, , ,243, ,528,-1.12,09 18 06.9,-12 05 52
0945+076, , ,45.2, ,77,-0.77,09 47 44.9,+07 25 27
1216+061,*, ,56.1, ,102,-0.86,12 19 23.0,+05 49 40
1226+023, , ,102, ,156,-0.61,12 29 05.5,+02 02 39
1228+126, , ,566, ,1651,-1.54,12 30 49.4,+12 23 13
1308-220, , ,49.2, ,64,-0.38,13 11 39.6,-22 16 29
1322-427,*, ,1104, ,1582,-0.52,13 25 30.3,-42 59 51
1416+067, , ,63.2, ,98,-0.63,14 19 07.7,+06 28 17
1502+262, , ,74, ,137,-0.89,15 04 59.3,+26 00 35
1514+072, , ,65.9, ,118,-0.84,15 16 46.2,+07 01 35
1526-423, , ,50.1, ,84,-0.75,15 30 13.8,-42 31 54
1559+021,*, ,59.5, ,76,-0.35,16 02 27.4,+01 57 49
1648+050, , ,378, ,838,-1.15,16 51 07.5,+04 59 15
1710-381, , ,41.1, ,36,0.19,17 14 07.4,-38 11 39
1711-384, , ,78.2, ,113,-0.53,17 14 37.8,-38 30 27
1717-009, , ,276, ,388,-0.49,17 20 29.0,-00 58 37
1727-214, , ,58, ,110,-0.92,17 30 41.0,-21 29 11
1737-309, , ,97, ,108,-0.15,17 40 19.0,-30 57 54
1742-290, , ,109,<,5,     ,17 45 45.1,-29 01 10
1808-194, , ,43.8, ,40,0.13,18 11 29.9,-19 25 46
1846-009, , ,51.4, ,58,-0.17,18 49 21.6,-00 55 32
1850+006, , ,63.6, ,43,0.56,18 52 34.3,+00 43 21
1905+070, , ,57.9, ,58,0,19 07 32.8,+07 08 19
1908+090, , ,74.7, ,51,0.55,19 11 05.3,+09 05 47
1932-464, , ,91.6, ,154,-0.75,19 35 56.5,-46 20 12
2012+234, , ,99, ,160,-0.69,20 14 27.8,+23 34 55
2104-256,*, ,56.2, ,67,-0.25,21 07 20.5,-25 27 16
2121+248, , ,64.1, ,112,-0.81,21 23 44.9,+25 04 28
2211-172, , ,79.2, ,146,-0.88,22 14 24.8,-17 01 53
2335+267,*, ,43, ,70,-0.7,23 38 27.0,+26 59 20
