Name,Cal Tag,RA,Dec
J000322-172711,radec gaincal,00:03:22.000,-17:27:11.400
J000613-062335 | 0003-066,radec gaincal,00:06:13.870,-06:23:35.200
3C2 | 0003-003,radec gaincal,00:06:22.63,-00:04:24.09
J0010-4153,radec gaincal,00:10:52.52,-41:53:10.8
J001524-380435,radec gaincal,00:15:24.350,-38:04:34.800
3C8,radec gaincal,00:18:51.40,-12:42:33.21
J001859-102254,radec gaincal,00:18:59.580,-10:22:54.000
0022+002,radec gaincal,00:22:25.43,+00:14:56.16
PKSJ0024-4202,radec gaincal,00:22:25.43,-42:02:03.9
J002430-292848,radec gaincal,00:24:30.120,-29:28:48.900
0024-420,radec gaincal,00:24:42.99,-42:02:03.95
0023-263 | J0025-2602,radec gaincal,00:25:49.15625,-26:02:12.6168
J002613-200457,radec gaincal,00:26:13.980,-20:04:57.700
J003704-010909,radec gaincal,00:37:04.060,-01:09:9.400
J003826-385947,radec gaincal,00:38:26.890,-38:59:46.200
PKSJ0042-4414,radec gaincal,00:42:09.44,-44:14:15.4
J004441-353033,radec gaincal,00:44:41.470,-35:30:32.800
J004619-420815,radec gaincal,00:46:19.810,-42:08:15.300
J004945-024257,radec gaincal,00:49:45.050,-02:42:57.700
J005905+000651 | 0056-001,radec gaincal,00:59:05.530,+00:06:51.500
J010422-123515,radec gaincal,01:04:22.490,-12:35:15.600
J010509-381059,radec gaincal,01:05:09.330,-38:10:57.200
0106+013,radec gaincal,01:08:38.8,+01:35:00
J011109-135745,radec gaincal,01:11:09.190,-13:57:45.900
J011517-012705,radec gaincal,01:15:17.100,-01:27:5.900
J011612-113614,radec gaincal,01:16:12.460,-11:36:14.900
J011815-255147,radec gaincal,01:18:15.770,-25:51:47.900
J011834-184914,radec gaincal,01:18:34.260,-18:49:14.900
PKS0117-155,radec gaincal,01:20:27.20,-15:20:16.63
J012227-042127,radec gaincal,01:22:27.920,-04:21:27.500
J012709-810815,radec gaincal,01:27:09.750,-81:08:15.200
J012730-140257,radec gaincal,01:27:30.240,-14:02:57.100
J013028-261000,radec gaincal,01:30:28.080,-26:10:0.300
0131-522,radec gaincal,01:33:05.76,-52:00:03.94
J013738-243054,radec gaincal,01:37:38.090,-24:30:54.400
3C48,radec bpcal,01:37:41.30,33:09:35.1
J014127-270607,radec gaincal,01:41:27.170,-27:06:7.600
J015310-331024,radec gaincal,01:53:10.120,-33:10:25.300
PKS0153-410,radec gaincal,01:55:37.06,-40:48:42.36
J015647-361609,radec gaincal,01:56:47.530,-36:16:8.300
J015741-104340,radec gaincal,01:57:41.600,-10:43:40.700
J020012-305325,radec gaincal,02:00:12.150,-30:53:26.500
J0201-1132,radec gaincal,02:01:57.16,-11:32:33.13
J0203-4349,radec gaincal,02:03:40.75,-43:49:50.9
J020457-170119,radec gaincal,02:04:57.680,-17:01:19.400
J021046-510102,radec gaincal,02:10:46.080,-51:01:2.200
J021757-163110,radec gaincal,02:17:57.150,-16:31:10.400
0220-019,radec gaincal,02:20:54.28,-01:56:51.8
J022502-231247,radec gaincal,02:25:02.610,-23:12:47.600
J022508-003531,radec gaincal,02:25:08.080,-00:35:31.800
J023253-064553,radec gaincal,02:32:53.910,-06:45:53.200
J023324-232105,radec gaincal,02:33:24.740,-23:21:5.400
J023507-040205,radec gaincal,02:35:07.030,-04:02:5.100
J023743-193235,radec gaincal,02:37:43.780,-19:32:35.400
J0240-2309 | 0237-233,radec gaincal,02:40:08.174568,-23:09:15.7305450
J0252-712,radec gaincal,02:52:46.15240,-71:04:35.2565
J030313-001459,radec gaincal,03:03:13.050,-00:14:59.800
0302-623,radec gaincal,03:03:50.632,-62:11:25.55
J030455-355650,radec gaincal,03:04:56.110,-35:56:47.400
J030919-103839,radec gaincal,03:09:19.940,-10:38:39.500
PKS0308-611,radec gaincal,03:09:56.09,-60:58:39.06
J031522-031646,radec gaincal,03:15:22.780,-03:16:46.200
CTA21 | 0316+162 | J0318+1628,radec gaincal,03:18:57.80,16:28:32.71
PKSJ0323+0534,radec gaincal,03:23:20.31,+05:34:11.9
J032836-284147,radec gaincal,03:28:36.530,-28:41:47.900
J033004-163848,radec gaincal,03:30:04.830,-16:38:48.600
PKS0332-403,radec gaincal,03:34:13.65,-40:08:25.39
PKS0334-546,radec gaincal,03:35:53.93,-54:30:25.12
J033930-014635,radec gaincal,03:39:30.940,-01:46:35.800
J034035-211931,radec gaincal,03:40:35.620,-21:19:31.700
J034205-370321,radec gaincal,03:42:05.400,-37:03:20.900
PKS0346-279,radec gaincal,03:48:38.00,-27:49:14
PKSJ0351-2744,radec gaincal,03:51:35.80,-27:44:33.0
J035232-071104,radec gaincal,03:52:32.040,-07:11:4.400
J035946-370025,radec gaincal,03:59:46.680,-37:00:25.900
J040016-161013,radec gaincal,04:00:16.510,-16:10:13.600
J040533-130814,radec gaincal,04:05:33.940,-13:08:14.400
PKS0405-385,radec gaincal,04:06:59,-38:26:28
J040748-121133,radec gaincal,04:07:48.440,-12:11:33.400
J0408-6545 | 0408-658,radec gaincal,04:08:20.380186,-65:45:09.0784890
J040848-750720,radec gaincal,04:08:48.470,-75:07:20.000
J040906-175709,radec gaincal,04:09:06.680,-17:57:09.400
J041222-005932,radec gaincal,04:12:22.630,-00:59:32.600
J041509-292906,radec gaincal,04:15:09.230,-29:29:06.000
J041604-205627,radec gaincal,04:16:04.330,-20:56:27.900
J041946-395005,radec gaincal,04:19:47.000,-39:50:3.700
PKSJ0420-6223,radec gaincal,04:20:55.33,-62:23:39.7
PKSJ0423-0120 | 0420-014,radec gaincal,04:23:15.80,-01:20:33.06
J042346-340240,radec gaincal,04:23:46.880,-34:02:41.500
J042940-363055,radec gaincal,04:29:40.220,-36:30:56.000
0431+206,radec gaincal,04:31:03.7620,20:37:34.250
J043300-295616,radec gaincal,04:33:00.380,-29:56:13.000
3C123,radec gaincal,04:37:04.38,+29:40:13.8
J043736-295406,radec gaincal,04:37:36.590,-29:54:5.300
PKSJ0440-4333,radec gaincal,04:40:17.18,-43:33:08.6
PKSJ0442-0017 | 0440-003,radec gaincal,04:42:38.66,-00:17:43.4
PKSJ0444-2809,radec gaincal,04:44:36.50,-28:09:44.0
PKSJ0453-2807 | 0451-282,radec gaincal,04:53:14.65,-28:07:37.3
J045514-300642,radec gaincal,04:55:14.310,-30:06:47.200
J045550-461559 | 0454-463,radec gaincal,04:55:50.540,-46:15:59.800
3C133,radec bpcal,05:02:58.5826,25:16:24.242
PKSJ0503+020 | 0500+019,radec gaincal,05:03:21.19,02:03:04.68
J051011-121045,radec gaincal,05:10:11.690,-12:10:45.500
J051100-220156,radec gaincal,05:11:00.630,-22:01:56.700
J051329-303015,radec gaincal,05:13:28.490,-30:30:33.800
PKSJ0519-4546,radec gaincal,05:19:49.69,-45:46:44.5
3C138,radec polcal,05:21:09.90,16:38:22.1
J0521-2047,radec gaincal,05:21:38,-20:47:39
J052149-061251,radec gaincal,05:21:49.550,-06:12:51.400
PKS0521-36,radec gaincal,05:22:58.01,-36:27:31.9
0530+135,radec gaincal,05:30:56.417,13:31:55.150
PKSJ0534+1927 | 0531+194,radec gaincal,05:34:44.52,+19:27:21.4
0537-441 | J0538-4405,radec gaincal,05:38:50,-44:05:09.
PKS0539-530,radec gaincal,05:40:25.17,-53:03:46.85
J055049-314426,radec gaincal,05:50:49.680,-31:44:26.100
J055615-322309,radec gaincal,05:56:15.460,-32:23:07.000
J060414-315555,radec gaincal,06:04:14.630,-31:55:56.600
0607-085,radec gaincal,06:07:59.699,-08:34:49.978
PKS0606-223,radec gaincal,06:08:59.69,-22:20:20.96
J060941-154240,radec gaincal,06:09:41.000,-15:42:40.500
PKS0615-365,radec gaincal,06:17:32.32,-36:34:14.80
J062032-251516,radec gaincal,06:20:32.140,-25:15:16.500
J062627-164035,radec gaincal,06:26:27.350,-16:40:35.300
J062710-055306 | 3C161,radec gaincal,06:27:10.060,-05:53:6.100
0637-752,radec gaincal,06:35:46.51,-75:16:16.81
PKS0642-349,radec gaincal,06:44:25.28,-34:59:42.14
J064544-155015,radec gaincal,06:45:44.270,-15:50:15.800
J064828-174405,radec gaincal,06:48:28.520,-17:44:05.000
J0647-475,radec gaincal,06:48:48.45,-47:34:27.19
J065717-320333,radec gaincal,06:57:16.480,-32:03:32.300
J070319-005102,radec gaincal,07:03:19.130,-00:51:2.400
PKS0704-231,radec gaincal,07:06:33.4782,-23:11:37.530
J071020-034326,radec gaincal,07:10:20.130,-03:43:26.900
J071546-023101,radec gaincal,07:15:46.950,-02:31:01.300
J071717-250453,radec gaincal,07:17:17.630,-25:04:53.100
J072121-120532,radec gaincal,07:21:21.160,-12:05:32.700
J072550-005458,radec gaincal,07:25:50.680,-00:54:58.000
J073019-114112,radec gaincal,07:30:19.150,-11:41:12.300
J073042-262035,radec gaincal,07:30:42.230,-26:20:35.600
J073106-234148,radec gaincal,07:31:06.660,-23:41:48.500
J073545-173548,radec gaincal,07:35:45.840,-17:35:48.300
J073833-020421,radec gaincal,07:38:33.910,-02:04:21.100
PKS0742-56,radec gaincal,07:43:20.48,-56:19:32.96
J0743-6726,radec gaincal,07:43:31,-67:26:26
J0744-0629 | 0741-063,radec gaincal,07:44:21.66,-06:29:35.9
PKS0742+103,radec gaincal,07:45:33.06,+10:11:12.69
J075130-385220,radec gaincal,07:51:30.330,-38:52:20.000
J075711-113756,radec gaincal,07:57:11.030,-11:37:56.600
0805-077,radec gaincal,08:08:15.536036,-07:51:09.886340
J082057-125858,radec gaincal,08:20:57.480,-12:58:58.600
J082514-284705,radec gaincal,08:25:14.240,-28:47:5.500
B0823-500,radec gaincal,08:25:26.869,-50:10:38.49
0823+031,radec gaincal,08:25:50.34,03:09:24.52
J082606-353247,radec gaincal,08:26:06.540,-35:32:47.600
J082717-202622,radec gaincal,08:27:17.310,-20:26:22.900
0828-375,radec gaincal,08:28:04.78,-37:31:06.28
J083711-195155,radec gaincal,08:37:11.230,-19:51:55.900
J084126-754031,radec gaincal,08:41:26.190,-75:40:31.100
J084649-294244,radec gaincal,08:46:49.030,-29:42:44.100
J085300-204726,radec gaincal,08:53:00.270,-20:47:26.300
J085348-142751,radec gaincal,08:53:48.920,-14:27:51.800
J085448+200630,radec gaincal,08:54:48.870,+20:06:30.700
J085711-033940,radec gaincal,08:57:11.670,-03:39:40.400
J085805-195036,radec gaincal,08:58:05.370,-19:50:36.200
0858+141,radec gaincal,08:58:41.55,14:09:44.63
J085938-192225,radec gaincal,08:59:38.650,-19:22:25.800
J090147-255519,radec gaincal,09:01:47.610,-25:55:19.400
PKS0859-140,radec gaincal,09:02:16.83,-14:15:30.88
J090652-682939,radec gaincal,09:06:52.230,-68:29:39.900
J092129-261843,radec gaincal,09:21:29.350,-26:18:43.000
J092246-395934,radec gaincal,09:22:46.360,-39:59:34.000
PKS0922+005,radec gaincal,09:25:07.81,+00:19:13.93
