#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2015-06-24T14:11:49 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ558ab97731c1	
#INFO	-out.max=100	
#INFO	queryParameters=20	
#-oc.form=dec
#-out.max=100
#-order=I
#-out.src=J/ApJS/171/61/table5
#-nav=cat:J/ApJS/171/61&tab:{J/ApJS/171/61/table5}&key:source=J/ApJS/171/61/table5&HTTPPRM:&&-ref=VIZ558ab97731c1&-out.max=100&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=CRATES&-out=S4.8&-out=RAJ2000&-out=DEJ2000&DEJ2000=<20:00:00&-out=S8.4&S8.4=>2000&-out=Morph&Morph=P&-ignore=Sp=*&Sp=Sp&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/ApJS/171/61/table5
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJS/171/61/table5
#-order=I
#-out=CRATES
#-out=S4.8
#-out=RAJ2000
#-out=DEJ2000
#DEJ2000=<20:00:00
#-out=S8.4
#S8.4=>2000
#-out=Morph
#Morph=P
#

#RESOURCE=yCat_21710061
#Name: J/ApJS/171/61
#Title: All-Sky Survey of Flat-Spectrum Radio Sources (Healey+, 2007)
#Table	J_ApJS_171_61_table5:
#Name: J/ApJS/171/61/table5
#Title: The CRATES catalog
#Column	CRATES	(a14)	The 4.8GHz coordinate name, JHHMMSS+DDMMSS (1)	[ucd=meta.id;meta.main]
#Column	S4.8	(I5)	The 4.8GHz flux density (1)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	RAJ2000	(A11)	? 4.8GHz Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	? 4.8GHz Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	S8.4	(F7.1)	? The 8.4GHz flux density	[ucd=phot.flux.density;em.radio.6-12GHz]
#Column	Morph	(A1)	Morphology class (G1)	[ucd=meta.code.class;src.morph.type]
CRATES|S4.8|RAJ2000|DEJ2000|S8.4|Morph
 |mJy|"h:m:s"|"d:m:s"|mJy|
--------------|-----|-----------|-----------|-------|-
J000613-062338| 2463|00 06 13.89|-06 23 35.3| 3296.9|P
J010838+013516| 4180|01 08 38.77|+01 35 00.3| 2263.2|P
J020450+151410| 3073|02 04 50.41|+15 14 11.0| 3325.0|P
J021046-510102| 3198|02 10 46.21|-51 01 02.4| 2778.8|P
J023838+163704| 1935|02 38 38.93|+16 36 59.3| 5453.5|P
J024105-081529| 3158|02 41 04.80|-08 15 20.8| 2339.5|P
J033930-014638| 3014|03 39 30.94|-01 46 35.8| 2694.9|P
J040353-360513| 1851|04 03 53.75|-36 05 01.9| 2529.2|P
J042315-012034| 4357|04 23 15.80|-01 20 33.1| 2409.0|P
J043310+052115| 4198|04 33 11.10|+05 21 15.6| 2105.2|P
J044017-433257| 3933|04 40 17.21|-43 33 08.6| 2423.4|P
J045551-461603| 1653|04 55 50.75|-46 15 59.3| 2300.3|P
J053056+133220| 3043|05 30 56.42|+13 31 55.1| 2458.1|P
J053238+073238| 2170|05 32 39.00|+07 32 43.3| 2763.4|P
J053851-440507| 4805|05 38 50.35|-44 05 08.7| 3073.0|P
J060940-154242| 2473|06 09 40.95|-15 42 40.7| 5586.8|P
J063542-751615| 6398|06 35 46.46|-75 16 16.7| 4564.4|P
J073807+174226| 1812|07 38 07.39|+17 42 19.0| 3738.2|P
J074532+101114| 3704|07 45 33.06|+10 11 12.7| 2534.4|P
J074553-004405| 1975|07 45 54.08|-00 44 17.5| 2229.8|P
J083639-201705| 1712|08 36 39.22|-20 16 59.5| 2010.2|P
J105830+013340| 3403|10 58 29.60|+01 33 58.8| 3364.8|P
J110707-444905| 3325|11 07 08.69|-44 49 07.2| 2295.0|P
J113007-144920| 4209|11 30 07.05|-14 49 27.4| 2823.5|P
J114702-381207| 1825|11 47 01.37|-38 12 11.0| 2476.5|P
J122906+020245|43572|12 29 06.70|+02 03 08.6|41725.0|P
J125610-054722|11192|12 56 11.17|-05 47 21.5|25850.5|P
J134733+121717| 3112|13 47 33.36|+12 17 24.2| 2150.0|P
J142433-491359| 5762|14 24 32.21|-49 13 50.1| 3886.9|P
J142755-420612| 2597|14 27 56.33|-42 06 18.7| 2442.6|P
J150705-165228| 2840|15 07 04.79|-16 52 30.3| 2442.9|P
