#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile
0004+139,,, ,Q , 00:06:57.681,  14:15:53.90, EVN_list
0008+106,IIIZw2,, ,G , 00:10:34.282,  10:58:41.40, EVN_list
0008+260,,, ,  , 00:10:35.948,  26:18:16.73, EVN_list
0010+405,,, ,Q , 00:13:31.170,  40:51:36.95, EVN_list
0010+775,,, ,  , 00:13:11.752,  77:48:46.30, EVN_list
0014+813,,, ,Q , 00:17:08.475,  81:35:08.29, EVN_list
0016+731,,, ,Q , 00:19:45.792,  73:27:30.19, EVN_list
0017+257,4C25.01,, ,Q , 00:19:39.776,  26:02:52.43, EVN_list
0018+729,,, ,  , 00:21:27.376,  73:12:42.04, EVN_list
0019-000,,, ,  , 00:22:25.425,   0:14:56.26, EVN_list
0019-073,,, ,  , 00:22:22.989,  -7:02:34.92, EVN_list
0020+593,IC10,, ,  , 00:23:11.479,  59:34:06.29, EVN_list
0022+390,,, ,  , 00:25:26.151,  39:19:35.53, EVN_list
0026+346,,, ,  , 00:29:14.240,  34:56:32.36, EVN_list
0029-091,,, ,  , 00:32:00.347,  -8:51:37.66, EVN_list
0030+470,,, ,BL, 00:32:53.774,  47:21:06.26, EVN_list
0039+230,,, ,  , 00:42:04.539,  23:20:01.05, EVN_list
0046+316,Mkn348,, ,G , 00:48:47.141,  31:57:26.32, EVN_list
0048-097,,, ,BL, 00:50:41.318,  -9:29:05.06, EVN_list
0053+602,HD5394,, ,S , 00:56:42.342,  60:43:00.44, EVN_list
0055+300,NGC315,, ,G , 00:57:48.883,  30:21:08.91, EVN_list
0059+581,,, ,S , 01:02:45.792,  58:24:14.41, EVN_list
0102+480,,, ,Q , 01:05:49.923,  48:19:03.25, EVN_list
0104+321,3C31,4C32.05, ,G , 01:07:24.959,  32:24:45.22, EVN_list
0106+013,4C01.02,, ,Q , 01:08:38.771,   1:35:00.32, EVN_list
0108+388,,, ,Q , 01:11:37.314,  39:06:28.21, EVN_list
0109+224,,, ,G , 01:12:05.821,  22:44:38.80, EVN_list
0114-211,,, ,  , 01:16:51.403, -20:52:06.66, EVN_list
0119+041,,, ,  , 01:21:56.856,   4:22:24.84, EVN_list
0119+115,,, ,BL, 01:21:41.594,  11:49:50.52, EVN_list
0123+633,,, ,  , 01:26:40.538,  63:35:28.84, EVN_list
0125+487,,, ,G , 01:28:08.065,  49:01:05.97, EVN_list
0125+628,,, ,  , 01:28:30.609,  63:06:29.91, EVN_list
0127+145,,, ,  , 01:29:55.348,  14:46:47.84, EVN_list
0127+233,3C43,4C23.06, ,Q , 01:29:59.798,  23:38:20.85, EVN_list
0130+326,IC133,, ,  , 01:33:16.540,  30:52:50.03, EVN_list
0130+621,OH127.9,, ,  , 01:33:51.221,  62:26:53.26, EVN_list
0133+207,3C47,, ,Q , 01:36:24.428,  20:57:27.52, EVN_list
0133+328,MKN1,, ,AN, 01:16:07.213,  33:05:21.80, EVN_list
0133+476,,, ,Q , 01:36:58.601,  47:51:29.16, EVN_list
0134+329,3C48,4C32.08, ,G , 01:37:41.301,  33:09:35.49, EVN_list
0136+395,4C39.04,, ,  , 01:39:30.447,  39:57:03.37, EVN_list
0138+136,3C49,4C13.10, ,G , 01:41:09.191,  13:53:28.75, EVN_list
0138-097,,, ,BL, 01:41:25.801,  -9:28:43.52, EVN_list
0138-170,UVCETI_B,, ,S , 01:39:00.430, -17:57:03.60, EVN_list
0141+168,IIIZw35,, ,G , 01:44:30.533,  17:06:08.68, EVN_list
