#  
#   VizieR Astronomical Server: vizier.u-strasbg.fr 	2003-03-21T14:31:10
#   Explanations and Statistics of UCDs:			See LINK below
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#    (link)
#   
#Coosys	J2000:	eq_FK5 2000 
#INFO	Ref=Vxml6766

#RESOURCE=41310303   
#Name: J/A+AS/131/303   
#Title:	GHz-Peaked-Spectrum radio sources (Stanghellini+ 1998)   
#Table	J_A_AS_131_303_table4:      
#Name: J/A+AS/131/303/table4     
#Title:	Flux densities for the complete sample               
#Column	Name	(A8)	       Source Name (1)        (link)          
#Column	nu	(F6)	       Frequency          
#Column	Snu	(F6)	       Flux density          
#Column	recno	(I8)	       Record number within the original table (starting from 1)        (link)     

Name    |nu GHz|Snu Jy|recno  
--------|------|------|--------
0019-000| 0.325| 2.370|       1
0019-000| 0.365| 2.870|       2
0019-000| 0.408| 2.990|       3
0019-000| 0.606| 3.440|       4
0019-000| 0.750| 3.340|       5
0019-000| 1.380| 2.880|       6
0019-000| 1.640| 2.590|       7
0019-000| 4.860| 1.100|       8

0108+38 | 1.380| 0.427|      12
0108+38 | 1.630| 0.572|      13
0108+38 | 2.300| 0.837|      14
0108+38 | 2.695| 1.000|      15
0108+38 | 3.900| 1.260|      16
0108+38 | 4.816| 1.300|      17
0108+38 | 4.866| 1.290|      18
0108+38 | 7.700| 0.960|      19
0108+38 | 8.434| 0.938|      20
0108+38 | 8.484| 0.933|      21
0108+38 |11.200| 0.660|      22
0108+38 |22.460| 0.384|      23

0237-233| 0.365| 2.960|      24
0237-233| 0.408| 3.670|      25
0237-233| 0.468| 4.760|      26
0237-233| 0.635| 6.200|      27
0237-233| 0.960| 7.020|      28
0237-233| 1.380| 6.190|      29
0237-233| 1.640| 5.910|      30
0237-233| 4.860| 3.340|      31
0237-233| 8.870| 2.360|      32
0237-233|22.460| 1.090|      33

0248+430| 0.302| 0.452|      34
0248+430| 0.333| 0.481|      35
0248+430| 1.335| 0.804|      36
0248+430| 1.665| 0.922|      37
0248+430| 4.535| 1.244|      38
0248+430| 4.985| 1.241|      39
0248+430| 8.085| 1.130|      40
0248+430| 8.465| 1.090|      41
0248+430|43.000| 0.385|      42

0316+161| 0.318| 6.800|      43
0316+161| 0.365| 7.550|      44
0316+161| 0.408| 8.060|      45
0316+161| 0.468| 8.910|      46
0316+161| 0.635| 9.640|      47
0316+161| 0.750| 9.540|      48
0316+161| 0.960| 9.400|      49
