#Name, type, RA2000, Dec2000
J0010-4153, radec gaincal,00:10:52.52, -41:53:10.8
J0025-2602, radec target, 00:25:49.17, -26:02:12.7
J0042-4414, radec gaincal,00:42:09.44,-44:14:15.4
0106+013, radec gaincal, 01:08:38.771, 01:35:00.317
3C48, radec gaincal, 01:37:41.299431, 33:09:35.132990
J0240-2309, radec gaincal, 02:40:08.174568, -23:09:15.7305450
J0252-712, radec gaincal, 02:52:46.157, -71:04:35.28
CTA21, radec gaincal, 03:18:57.80, 16:28:32
J0405-1308, radec gaincal,04:05:34.00,-13:08:13.7
J0408-6545, radec gaincal, 04:08:20.380186, -65:45:09.0784890
J0408-7507, radec gaincal, 04:08:49.03, -75:07:20.6
3C123, radec gaincal, 04:37:04.3750, 29:40:13.820
3C133, radec gaincal, 05:02:58.5826, 25:16:24.242
3C138, radec bpcal, 05:21:09.90, +16:38:22.051
J0521-2047, radec gaincal, 05:21:38, -20:47:39
0521-365, radec gaincal, 05:22:57.984651, -36:27:30.850920
0531+194, radec gaincal, 05:34:44.5183, 19:27:21.378
J0538-4405, radec gaincal, 05:38:50.36, -44:05:08.9
3C161, radec bpcal, 06:27:10.1, -05:53:04.77
J0635-7516, radec gaincal, 06:35:46.51, -75:16:16.8
J0743-6726, radec gaincal, 07:43:31, -67:26:26
J0744-0629, radec gaincal, 07:44:21.66, -06:29:35.9
B0823-500, radec gaincal, 08:25:26.869, -50:10:38.49
3C237, radec gaincal, 10:08:00.0160, 07:30:16.552
1127-145, radec gaincal, 11:30:07.0525, -14:49:27.388
1148-001, radec gaincal, 11:50:43.870761, -00:23:54.20490
J1218-4600, radec gaincal, 12:18:06.250790,-46:00:28.9999260
3C273, radec gaincal, 12:29:06.699729, 02:03:08.598190
3C279, radec gaincal, 12:56:11.166560, -05:47:21.524580
3C283, radec gaincal, 13:11:39.3347, -22:16:41.748
3C286, radec gaincal, 13:31:08.287984, 30:30:32.958850
1345+125, radec gaincal, 13:47:33.361645, 12:17:24.238900
3C298, radec gaincal, 14:19:08.180173, 06:28:34.803490
J1424-4913, radec gaincal, 14:24:32.28877, -49:13:50.0425
J1517-2422, radec gaincal, 15:17:42, -24:22:15
1549-790, radec gaincal, 15:56:58.871, -79:14:04.28
CTD93, radec gaincal, 16:09:13.320853, 26:41:29.0378000
3C345, radec gaincal, 16:42:58.809951, 39:48:36.993950
J1720-358, radec gaincal, 17:20:21.8042, -35:52:47.708
NRAO530, radec gaincal, 17:33:02.705790, -13:04:49.548230
J1744-5144, radec gaincal, 17:44:25.450619, -51:44:43.79199
1742-289, radec gaincal, 17:45:40.0383, -29:00:28.069
J1818-5158, radec gaincal, 18:18:06, -51:58:09
1819-096, radec gaincal, 18:22:28.7042, -09:38:56.835
J1830-3602, radec gaincal, 18:30:57, -36:02:28
1830-210, radec gaincal, 18:33:39.9150, -21:03:40.050
3C391, radec gaincal, 18:49:22.40, -00:55:21.00
OV-236, radec gaincal, 19:24:51.055957, -29:14:30.121150
1934-638, radec bpcal, 19:39:25.03, -63:42:45.63
1938-155, radec gaincal, 19:41:15.0289, -15:24:31.309
2032-350, radec gaincal, 20:35:47.8091, -34:54:08.925
2050+364, radec gaincal, 20:52:52.054995, 36:35:35.300210
J2107-2526, radec gaincal, 21:07:21, -25:26:48
J2131-2036, radec gaincal, 21:31:01, -20:36:56
2134+004, radec gaincal, 21:36:38.586, 00:41:54.21
J2138-4646, radec gaincal, 21:38:01, -46:46:40
2203-188, radec gaincal, 22:06:10.417082, -18:35:38.746520
3C446, radec gaincal, 22:25:47.259291, -04:57:01.390730
CTA102, radec gaincal, 22:32:36.408914, 11:43:50.904100
3C454.3, radec gaincal, 22:53:57.747932, 16:08:53.560890
