0008-421, 00:10:52.519641, -41:53:10.78780,   - , 3.10
0208-512, 02:10:46.200412, -51:01:01.89187, 3.21, 3.56
0237-233, 02:40:08.174536, -23:09:15.73288, 3.16, 5.34
0438-436, 04:40:17.179991, -43:33:08.60397, 7.58, 6.17
0521-365, 05:22:57.984651, -36:27:30.85092, 8.89, 11.50
0537-441, 05:38:50.361540, -44:05:08.93895, 3.96, 3.84
0637-752, 06:35:46.507934, -75:16:16.81533, 6.19, 4.51
0834-201, 08:36:39.215215, -20:16:59.50350, 3.42, 3.30
1355-416, 13:59:00.183255, -41:52:52.63210, 1.44, 3.10
1549-790, 15:56:58.869899, -79:14:04.28134, 3.54, -
1610-771, 16:17:49.276341, -77:17:18.46743, 5.55, 3.80
1718-649, 17:23:41.029765, -65:00:36.61518, 3.70, 4.00
1733-565, 17:37:35.770462, -56:34:03.15477, 3.32, 4.40
1814-637, 18:19:35.002525, -63:45:48.19427, 4.34, 7.40
1921-293, 19:24:51.055959, -29:14:30.12084,10.00, 4.60
1934-638, 19:39:25.026661, -63:42:45.62554, 6.01,11.10
