0001+478, 0003+481, 00:03:46.04126, 48:07:04.1337,    75, P,
0001+459, 0004+462, 00:04:16.12934, 46:15:17.9680,   220, P,
0002+541, 0005+544, 00:05:04.36292, 54:28:24.9382,   391, P,
0003+380, 0005+383, 00:05:57.17550, 38:20:15.1685,  1157, P,
0005+568, 0007+571, 00:07:48.47107, 57:06:10.4542,   127, P,
0005+683, 0008+686, 00:08:33.47570, 68:37:22.0485,    93, S,WEAK EXT PA 40
0006+397, 0009+400, 00:09:04.17497, 40:01:46.7245,   247, S,EXT PA -25
0008+704, 0011+707, 00:11:31.90189, 70:45:31.6545,   661, P,
0010+463, 0013+466, 00:13:16.48961, 46:36:08.6816,   258, P,
0010+405, 0013+408, 00:13:31.13114, 40:51:37.1480,   550, S,WEAK SEC PA -25 :  1arcsec
0015+529, 0017+532, 00:17:51.75964, 53:12:19.1255,   644, P,
0016+731, 0019+734, 00:19:45.78710, 73:27:30.0190,  1364, P,VLBI
0018+428, 0020+430, 00:20:49.97982, 43:04:38.3286,   125, P,
0018+715, 0021+718, 00:21:02.81860, 71:50:20.7863,   224, P,
0018+729, 0021+732, 00:21:27.37784, 73:12:41.9283,   196, P,
0019+451, 0022+454, 00:22:06.61110, 45:25:33.8458,   298, P,
0020+446, 0023+449, 00:23:35.44097, 44:56:35.7686,   232, P,
0021+464, 0024+467, 00:24:21.53870, 46:44:06.2355,   194, S,WEAK EXT PA 165
0022+390, 0025+393, 00:25:26.15705, 39:19:35.4466,   456, P,
0024+596, 0027+599, 00:27:03.29104, 59:58:52.9831,   194, P,
0027+703, 0030+706, 00:30:14.41644, 70:37:40.0416,   430, P,WEAK EXT PA -120
0027+587, 0030+590, 00:30:43.45536, 59:04:19.7303,   132, P,
0035+413, 0038+416, 00:38:24.84498, 41:37:06.0046,   985, P,
0035+503, 0038+505, 00:38:28.41356, 50:35:25.8225,   232, S,TRIPLE PA -80 : 8arcsec
0037+487, 0039+490, 00:39:46.99948, 49:00:33.1804,   262, P,
0039+568, 0042+571, 00:42:19.45224, 57:08:36.5829,   830, P,
0042+456, 0045+459, 00:45:00.03509, 45:55:15.2693,    95, S,WEAK EXT PA 165
0044+387, 0046+390, 00:46:47.57892, 39:00:47.1485,   215, P,
0044+566, 0047+569, 00:47:00.43138, 56:57:42.3925,   467, P,
0046+511, 0049+514, 00:49:37.99007, 51:28:13.7002,   218, P,
0048+447, 0051+449, 00:51:36.47640, 44:59:35.9736,   245, P,
0049+437, 0052+440, 00:52:27.82855, 44:02:54.5142,   206, P,
0051+706, 0054+708, 00:54:17.68844, 70:53:56.6246,   288, P,
0051+679, 0054+681, 00:54:17.62372, 68:11:11.1752,   272, P,
0057+678, 0100+681, 01:00:51.66449, 68:08:20.5466,   856, P,
0058+498, 0101+500, 01:01:16.99876, 50:04:44.9914,   127, P,
0059+581, 0102+584, 01:02:45.76299, 58:24:11.1392,  1399, P,
0102+511, 0105+514, 01:05:29.55877, 51:25:46.5763,   112, P,
0102+480, 0105+483, 01:05:49.92953, 48:19:03.1829,   741, P,
0106+678, 0110+680, 01:10:12.86977, 68:05:41.2197,   524, S,
0108+388, 0111+391, 01:11:37.31921, 39:06:28.0852,   830, P,
0108+433, 0111+435, 01:11:37.61514, 43:35:31.4633,    84, S,
0109+351, 0112+353, 01:12:12.94503, 35:22:19.2954,   402, S,WEAK EXT
0110+495, 0113+498, 01:13:27.00695, 49:48:24.0572,   499, S,WEAK EXT PA 55
0121+560, 0124+563, 01:24:25.82647, 56:18:51.9134,   352, P,
