0008-421 | J0010-4153,radec gaincal,00:10:52.519257,-41:53:10.7861530
0036-392 | J0038-3859,radec gaincal,00:38:26.89,    -38:59:46.9
0042-357 | J0044-3530,radec gaincal,00:44:41.2294,  -35:30:41.628
0048-447 | J0050-4428,radec gaincal,00:50:52.00,    -44:28:39.0
0201-440 | J0203-4349,radec gaincal,02:03:40.7543,  -43:49:50.783
0208-516 | J0209-5124,radec gaincal,02:09:56.4,     -51:24:53.
0237-233 | J0240-2309,radec gaincal,02:40:08.174568,-23:09:15.7305450
0252-712 | J0252-7104,radec gaincal,02:52:46.155968,-71:04:35.2741510
0340-372 | J0342-3703,radec gaincal,03:42:05.39,    -37:03:21.9
0407-658 | J0408-6545,radec gaincal,04:08:20.380186,-65:45:09.0784890
0409-752 | J0408-7507,radec gaincal,04:08:48.49,    -75:07:19.3
0420-625 | J0420-6223,radec gaincal,04:20:56.08,    -62:23:38.7
0438-436 | J0440-4333,radec gaincal,04:40:17.179991,-43:33:08.6031670
0509-573 | J0510-5719,radec gaincal,05:10:18.58,    -57:19:41.5
0537-441 | J0538-4405,radec gaincal,05:38:50.361546,-44:05:08.9381300
0614-349 | J0616-3456,radec gaincal,06:16:35.981369,-34:56:16.5633960
0906-682 | J0906-6829,radec gaincal,09:06:52.46,    -68:29:39.8
0943-761 | J0943-7620,radec gaincal,09:43:24.01,    -76:20:10.2
1015-314 | J1018-3144,radec gaincal,10:18:09.2762,  -31:44:14.107
1151-348 | J1154-3505,radec gaincal,11:54:21.7949,  -35:05:28.992
1215-457 | J1218-4600,radec gaincal,12:18:06.250790,-46:00:28.999926
1232-416 | J1235-4153,radec gaincal,12:35:41.9330,  -41:53:18.01
1234-504 | J1237-5046,radec gaincal,12:37:15.239025,-50:46:23.1723120
1245-197 | J1248-1959,radec gaincal,12:48:23.8981,  -19:59:18.587
1308-220 | J1311-2216,radec gaincal,13:11:39.3347,  -22:16:41.748
1315-460 | J1315-4623,radec gaincal,13:15:47.23,    -46:23:48.0
1359-358 | J1402-3603,radec gaincal,14:02:40.13,    -36:03:49.7
1421-490 | J1424-4913,radec gaincal,14:24:32.28877, -49:13:50.0425
1422-297 | J1425-2959,radec gaincal,14:25:29.1162,  -29:59:54.331
1424-418 | J1427-4206,radec gaincal,14:27:56.2975,  -42:06:19.437
1458-391 | J1501-3918,radec gaincal,15:01:34.7581,  -39:18:39.435
1549-790 | J1556-7914,radec gaincal,15:56:58.869736,-79:14:04.2814380
1607-841 | J1619-8418,radec gaincal,16:19:33.95,    -84:18:18.8
1610-771 | J1617-7717,radec gaincal,16:17:49.276264,-77:17:18.4677240
1718-649 | J1723-6500,radec gaincal,17:23:41.029758,-65:00:36.6148870
1740-517 | J1744-5144,radec gaincal,17:44:25.450619,-51:44:43.79199
1814-519 | J1818-5158,radec gaincal,18:18:06.96,    -51:58:09.6
1814-637 | J1819-6345,radec gaincal,18:19:34.99,    -63:45:48.1
1827-360 | J1830-3602,radec gaincal,18:30:58.8829,  -36:02:30.132
1829-718 | J1835-7149,radec gaincal,18:35:37.204288,-71:49:58.2199970
1854-663 | J1859-6615,radec gaincal,18:59:57.94,    -66:15:02.2
1921-293 | J1924-2914,radec gaincal,19:24:51.056,   -29:14:30.11
1933-587 | J1937-5838,radec gaincal,19:37:32.31,    -58:38:26.0
2049-368 | J2052-3640,radec gaincal,20:52:17.50,    -36:40:29.9
2201-555 | J2205-5517,radec gaincal,22:05:04.91,    -55:17:44.5
2226-386 | J2229-3823,radec gaincal,22:29:46.908,   -38:23:59.31
2259-375 | J2302-3718,radec gaincal,23:02:23.8905,  -37:18:06.842
2311-452 | J2314-4455,radec gaincal,23:14:09.382840,-44:55:49.2363090
2319-550 | J2322-5445,radec gaincal,23:22:06.84,    -54:45:29.9
2323-407 | J2326-4027,radec gaincal,23:26:34.1409,  -40:27:15.159
2326-477 | J2329-4730,radec gaincal,23:29:17.704372,-47:30:19.1147020
2339-353 | J2341-3506,radec gaincal,23:41:45.8910,  -35:06:22.130
