,,,,,,Date of KAT obs,09 Sep 2013 22:45:38 GMT,,Date of KAT obs,04 Nov 2013 1383571064.h5,,Date of KAT obs,22 Oct 2013 1382450460.h5,,Date of KAT obs,18 Oct 2013 1382115074.h5,,Date of KAT obs,22 Sep 2013 1379842684.h5,,Date of KAT obs,18 Sep 2013 1379516592.h5,,Total,,,,
Name ,RA,Dec,SUMSS/NVSS Flux,Assumed SI,1822MHz predicted,Source flux mJy,Contaminating Flux,Rating,Source flux mJy,Contaminating Flux,Rating,Source flux mJy,Contaminating Flux,Rating,Source flux mJy,Contaminating Flux,Rating,Source flux mJy,Contaminating Flux,Rating,Source flux mJy,Contaminating Flux,Rating,Average Flux (mJy),rms (% of mean),Contaminating Flux (mJy),Flux/ContaminatingFlux,Final Rating
Cal0_0127-81,1:27:09,-81:08:15,1118,-0.78,612.857607029323,,,,,,,,,,,,,,,,,,,,,,,
Cal1_0202-76,2:02:14,-76:20:06,4564,-1.03,2063.39899079771,2097,198,±Bad,2112,209,,2086,205,,2079,198,,Poor Image,Poor Image,,2122,196,,"2,099",0.85,201,0.10,Poor
Cal2_0253-71,2:52:46,-71:04:36,8545,-0.87,4370.23683078146,4703,84,Preferred,4603,67,,4560,68,,4689,59,,Poor Image,Poor Image,,4480,79,,"4,607",2.01,71,0.02,Prefered
Cal3_0408-66,4:08:20,-65:45:08,24444,-1.13,10231.4638302537,11495,231,Preferred,Poor Image,Poor Image,Poor Image,11344,160,,11709,189,,Poor Image,Poor Image,,Poor Image,Poor Image,,"11,516",1.59,193,0.02,Prefered
Cal4_0409-75,4:08:48,-75:07:20,21112,-0.87,10797.4768837283,11201,161,Preferred,11054,221,,10928,222,,11156,230,,10812,236,,10892,175,,"11,007",1.40,208,0.02,Prefered
Cal5_0421-62,4:20:56,-62:23:37,5619,-1.03,2540.36786356098,2663,108,Good,2607,80,,2596,68,,2668,106,,No Data,No Data,,Poor Image,Poor Image,,"2,634",1.42,91,0.03,Good
Cal6_0523-36,5:22:57,-36:27:31,22653,-0.51,15290.3743411087,14678,469,Good,Poor Image,Poor Image,Poor Image,14784,0,,14914,0,,No Data,No Data,,Poor Image,Poor Image,,"14,792",0.80,156,0.01,Prefered
Cal7_0615-83,6:15:05,-82:37:15,1769,-0.99,824.810617584435,950,70,Bad,946,57,Extended?,928,68,,938,69,,918,55,,937,59,,936,1.25,63,0.07,Poor
Cal8_0759-81,7:59:29,-80:59:20,1454,-1.08,632.50788611501,688,49,Bad,687,29.8,,689,37,,Poor Image,Poor Image,,684,31,,676,37,,685,0.77,37,0.05,Bad
Cal9_0837-84,8:37:14,-83:44:40,1894,-0.93,924.889038848474,1212,163,Bad,1166,51,,1158,170,,1193,158,,1175,171,,1167,155,,"1,179",1.72,145,0.12,Bad
Cal10_0841-76,8:41:26,-75:40:31,6508,-0.95,3129.41230683979,3309,0,Preferred,Poor Image,Poor Image,Poor Image,Poor Image,Poor Image,Poor Image,3412,68,,3183,57,,Poor Image,Poor Image,,"3,301",3.47,42,0.01,Good
Cal11_0907-68,9:06:52,-68:29:39,2931,-1.02,1335.36689193533,1423,37,Good,No Data,No Data,No Data,Poor Image,Poor Image,Poor Image,1477,33,,Poor Image,Poor Image,,Poor Image,Poor Image,,"1,450",2.63,35,0.02,Good
Cal12_1248-85,12:48:25,-85:13:03,2073,-0.97,981.567404368972,1087,167,Bad,1100,170,Bad,1096,165,,1104,168,,1102,160,,1104,163,,"1,099",0.59,166,0.15,Bad
Cal13_1309-83,13:08:39,-82:59:37,1924,-1.03,869.846550897192,1071,351,Bad,1038,341,Bad,1045,343,,1068,350,,1050,368,,1057,343,,"1,055",1.23,349,0.33,Bad
Cal14_1311-87,13:10:48,-86:36:38,1064,-0.79,578.778243599365,696,37,Bad,695,40,Bad,681,37,,684,42,,686,38,,688,39,,688,0.87,39,0.06,Bad
Cal15_1531-86,15:31:00,-86:12:29,1253,-0.84,655.821425229974,771,324,Bad,773,326,,763,326,,774,320,,764,312,,768,324,,769,0.60,322,0.42,Shocking
Cal16_1618-77,16:17:49,-77:17:16,4152,-0.17,3642.12468305091,2981,873,Bad Poor image,2842,758,,2841,750,,Poor Image,Poor Image,Poor Image,2882,835,,2885,858,,"2,886",1.98,815,0.28,Bad
Cal17_1703-78,17:02:41,-77:41:58,2912,-0.61,1819.7498148026,2151,138,Good Poor Image,1990,90,,2066,100,,2021,115,,2039,98,,2030,103,,"2,050",2.71,107,0.05,Good
Cal18_1734-84,17:33:53,-83:42:57,1661,-0.98,780.446703220073,757,286,Bad,706,283,,722,284,,733,283,,740,281,,725,281,,731,2.37,283,0.39,Bad
Cal19_1744-52,17:44:25,-51:44:43,8151,-0.31,6418.70543653215,,,,6676,129,,6702,107,,6693,118,,6785,86,,6719,118,,"6,715",0.63,112,0.02,Prefered
Cal20_1759-60,17:59:06,-59:46:58,5826,-1.05,2593.66357180587,,,,2431,33,,2504,44,,Poor Image,Poor Image,,2444,42,,2370,--,,"2,437",2.26,40,0.02,Good
Cal21_1920-87,19:19:49,-87:26:47,1151,-0.97,544.999557370326,672,445,Shocking,668,392,,672,427,,681,428,,676,398,,646,386,,669,1.82,413,0.62,Shocking
Cal22_1936-46,19:35:57,-46:20:43,21200,-0.94,10273.0241910417,9182,319,Good Poor Image,9249,155,,9671,132,,Poor Image,Poor Image,,Poor Image,Poor Image,,9734,--,,"9,459",3.00,202,0.02,Good
Cal23_1939-64,19:39:25,-63:42:43,14875,-0.2,13612 (Defined),13998,,Preferred Poor Image,13849,,,14045,,,Poor Image,Poor Image,,13912,,,13977,,,"13,956",0.55,,0.00,Primary
Cal24_2202-84,22:02:19,-83:38:13,1100,-0.01,1091.55463268674,911,98,Bad,898,77,,888,83,,898,86,,888,95,,904,86,,898,1.00,88,0.10,Bad
