#0002-478,radec gaincal,00:04:35.640,-47:36:19.73
0008-421,radec gaincal,00:10:52.520,-41:53:10.79
0022-423,radec gaincal,00:24:42.990,-42:02:03.95
#0037-593,radec gaincal,00:40:07.835,-59:03:52.86
#0042-357,radec gaincal,00:44:41.22,-35:30:41.50
#0047-579,radec gaincal,00:49:59.473,-57:38:27.33
#0048-427,radec gaincal,00:51:09.498,-42:26:33.28
#0056-572,radec gaincal,00:58:46.581,-56:59:11.47
#0104-408,radec gaincal,01:06:45.108,-40:34:19.96
#0107-610,radec gaincal,01:09:15.59,-60:49:48.50
#0131-522,radec gaincal,01:33:05.763,-52:00:03.94
#0150-334,radec gaincal,01:53:10.122,-33:10:25.86
0153-410,radec gaincal,01:55:37.059,-40:48:42.36
#0201-440,radec gaincal,02:03:40.76,-43:49:51.41
0208-512,radec gaincal,02:10:46.200,-51:01:01.90
#0214-522,radec gaincal,02:16:03.191,-52:00:12.40
#0220-349,radec gaincal,02:22:56.402,-34:41:28.73
#0230-790,radec gaincal,02:29:34.945,-78:47:45.60
#0235-618,radec gaincal,02:36:53.253,-61:36:15.10
#0252-549,radec gaincal,02:53:29.180,-54:41:51.44
0252-712,radec gaincal,02:52:46.157,-71:04:35.28
0302-623,radec gaincal,03:03:50.632,-62:11:25.55
#0308-611,radec gaincal,03:09:56.099,-60:58:39.06
#0332-403,radec gaincal,03:34:13.65,-40:08:25.09
#0334-546,radec gaincal,03:35:53.925,-54:30:25.12
#0355-483,radec gaincal,03:57:21.918,-48:12:15.16
#0355-669,radec gaincal,03:55:47.84,-66:45:34.3
#0400-319,radec gaincal,04:02:21.266,-31:47:25.94
#0402-362,radec gaincal,04:03:53.750,-36:05:01.91
#0405-331,radec gaincal,04:07:33.910,-33:03:46.40
#0405-385,radec gaincal,04:06:59.035,-38:26:28.04
0407-658,radec gaincal,04:08:20.380,-65:45:09.08
#0414-341,radec gaincal,04:16:10.061,-34:03:03.79
0420-625,radec gaincal,04:20:55.33,-62:23:39.70
0422-380,radec gaincal,04:24:42.244,-37:56:20.78
#0426-380,radec gaincal,04:28:40.424,-37:56:19.58
#0437-454,radec gaincal,04:39:00.855,-45:22:22.56
0438-436,radec gaincal,04:40:17.180,-43:33:08.60
#0439-337,radec gaincal,04:41:33.785,-33:40:04.07
#0448-392,radec gaincal,04:49:42.272,-39:11:09.30
#0450-469,radec gaincal,04:51:53.362,-46:53:19.68
#0454-463,radec gaincal,04:55:50.77,-46:15:58.41
#0454-810,radec gaincal,04:50:05.439,-81:01:02.23
#0515-674,radec gaincal,05:15:37.564,-67:21:27.78
#0522-611,radec gaincal,05:22:34.425,-61:07:57.14
#0530-727,radec gaincal,05:29:30.042,-72:45:28.51
#0532-378,radec gaincal,05:34:17.498,-37:47:25.49
#0534-340,radec gaincal,05:36:28.437,-34:01:11.41
0537-441,radec gaincal,05:38:50.362,-44:05:08.94
#0539-530,radec gaincal,05:40:25.170,-53:03:46.85
#0602-424,radec gaincal,06:04:25.169,-42:25:29.99
0606-795,radec gaincal,06:03:06.049,-79:34:50.57
#0610-436,radec gaincal,06:12:28.590,-43:37:48.35
0614-349,radec gaincal,06:16:35.974,-34:56:16.64
0615-365,radec gaincal,06:17:32.330,-36:34:14.86
#0629-418,radec gaincal,06:31:11.998,-41:54:26.95
#0637-337,radec gaincal,06:39:20.905,-33:46:00.11
#0642-349,radec gaincal,06:44:25.299,-34:59:41.93
#0646-306,radec gaincal,06:48:14.097,-30:44:19.66
#0647-475,radec gaincal,06:48:48.453,-47:34:27.19
#0724-47,radec gaincal,07:26:26.236,-47:28:53.47
0727-365,radec gaincal,07:29:05.430,-36:39:45.25
#0731-465,radec gaincal,07:32:44.312,-46:40:17.36
#0736-332,radec gaincal,07:38:16.948,-33:22:12.78
#0742-56,radec gaincal,07:43:20.473,-56:19:33.09
#0745-330,radec gaincal,07:47:19.68,-33:10:47.20
#0757-737,radec gaincal,07:57:14.066,-73:53:09.45
#0812-354,radec gaincal,08:14:14.64,-35:38:25.70
0823-500,radec gaincal,08:25:26.869,-50:10:38.49
#0826-373,radec gaincal,08:28:04.78,-37:31:06.20
#0841-60,radec gaincal,08:42:26.546,-60:53:50.69
#0843-54,radec gaincal,08:45:02.496,-54:58:08.55
