#  NAMEB            RAB            DECB        S1410   S2700   S5000   S8400    !            RAJ           DECJ         ACC    ID       MAG      Z        NAMEJ
B0023-263       00 23 18.9      -26 18 49       8.6     5.8     3.8     2.2     *       00:25:49.17     -26:02:12.7     0.15    G       19.5    0.398   J0025-2602
B0252-712       02 52 26.6      -71 16 47       5.9     3.1     2.0     0.7     .        02:52:46.309    -71:04:35.93    T       G       19.0    ......  J0252-7104
B0316+162       03 16 09.1      +16 17 40       8.3     4.8     2.9     1.7     *       03:18:57.801    +16:28:32.71    0.05    Q       23.0            J0318+1628
B0407-658       04 07 58.0      -65 53 00      14.4     6.5     3.9     1.3     *       04:08:20.375    -65:45:09.62    T       Q       ....    ......  J0408-6545
B0438-436       04 38 43.2      -43 38 53       7.5     6.5     3.5     2.3     *       04:40:17.1800   -43:33:08.597   A       Q       19.5    2.8630  J0440-4333
B0518+165       05 18 16.5      +16 35 27       9.2     6.3     4.0     2.4     *       05:21:09.90     +16:38:22.1     0.15    Q       18.8    0.754   J0521+1638
B0521-365       05 22 58.0      -36 27 32      16.3    12.5     9.2     6.4     *       05:22:58.01     -36:27:31.9     T       G       16.8    0.055   J0522-3627
B0915-118       09 15 41.1      -11 53 03      43.5    23.5    13.1     8.0     *       09:18:05.6      -12:05:42.      0.00    D       14.8    0.053   J0918-1205
B1127-145       11 27 35.7      -14 32 54       6.4     6.0     5.5     3.2     *       11:30:07.052    -14:49:27.39    0.02    Q       16.9    1.187   J1130-1449
B1151-348       11 51 49.4      -34 48 47       6.1     4.1     3.1     1.5     *       11:54:21.7949   -35:05:28.992   C       Q       18.0    0.258   J1154-3505
B1226+023       12 26 33.2      +02 19 43      42.0    40.9    36.7    55.4     *       12:29:06.700    +02:03:08.60    0.02    Q       12.8    0.158   J1229+0203
B1253-055       12 53 35.8      -05 31 08      11.6    12.0    13.0    11.1     *       12:56:11.167    -05:47:21.53    0.02    Q       17.8    0.538   J1256-0547
B1345+125       13 45 06.2      +12 32 21       5.1     3.9     2.9     2.2     .       13:47:33.36     +12:17:24.2     0.15    S0      17.0    0.122   J1347+1217
B1549-790       15 49 28.2      -79 05 18       5.8     5.0     5.4     3.2     *       15:56:58.871    -79:14:04.28    A       G       ....    ......  J1556-7914
B1730-130       17 30 13.6      -13 02 46       5.2     4.3     4.1     6.2     *       17:33:02.706    -13:04:49.55    0.02    Q       18.5            J1733-1304
B1814-637       18 14 46.0      -63 47 03      12.3     7.4     5.1     2.2     *       18:19:34.990    -63:45:48.10    T       G       18.0    ......  J1819-6345
B1921-293       19 21 42.3      -29 20 26       5.7    14.8    10.6     9.5     .       19:24:51.056    -29:14:30.12    0.02    BLC     17.5    0.352   J1924-2914
B1934-638       19 34 47.6      -63 49 38      16.4    11.5     6.4     2.6     *       19:39:25.006    -63:42:45.68    C       G       18.4    0.1850  J1939-6342
B2203-188       22 03 25.7      -18 50 17       6.6     5.3     4.2     3.2     *       22:06:10.41     -18:35:38.8     0.15    Q       19.5    0.618   J2206-1835
B2223-052       22 23 11.1      -05 12 18       6.2     4.7     4.3     5.9     *       22:25;47.259    -04:57:01.39    0.02    Q       18.4    1.406   J2225-0457
B2230+114       22 30 07.8      +11 28 23       6.9     5.4     3.5     3.6     *       22:32:36.409    +11:43:50.90    0.02    Q       17.3    1.037   J2232+1143
B2251+158       22 51 29.5      +15 52 54      12.2    10.2    23.3    11.0     *       22:53:57.748    +16:08:53.56    0.02      Q       18.0    0.859   J2253+1608
