3C29, radec polcal, 00:57:34.15, -01:22:58.4
3C94, radec polcal, 03:52:32.04, -07:11:04.4
0454-810, radec polcal, 04:50:05.4402, -81:01:02.231
0634-205, radec polcal, 06:36:31.4, -20:36:52.
PicA, radec polcal, 05:19:49.69, -45:46:44.5
0521-365, radec polcal, 05:22:58, -36:27:31
3C161, radec polcal, 06:27:10.1, -05:53:04.77
0634-057, radec polcal, 06:36:48.34, -05:47:06.2
0637-752, radec polcal, 06:35:47, -75:16:17
0648-165, radec polcal, 06:50:25, -16:37:40
0733-174, radec polcal, 07:35:45.81, -17:35:48.5
0743-673, radec polcal, 07:43:31.612, -67:26:25.54
0920-397, radec polcal, 09:22:46.411, -39:59:35.06
1039-474, radec polcal, 10:41:42.939, -47:40:06.52
1127-145, radec polcal, 11:30:07.053, -14:49:27.38
3C279, radec polcal, 12:56:11.167, -05:47:21.53
1504-167, radec polcal, 15:07:04.790, -16:52:30.20
1622-297, radec polcal, 16:26:05.99, -29:51:26.8
3C353, radec polcal, 17:20:28.16, -00:58:46.6
1610-771, radec polcal, 16:17:49.276, -77:17:18.47
NRAO530, radec polcal, 17:33:02.705, -13:04:49.54
1814-637, radec polcal, 18:19:34.99, -63:45:48.1
1819-096, radec polcal, 18:22:28.704, -09:38:56.83
1908-201, radec polcal, 19:11:09, -20:06:55
1903-802, radec polcal, 19:12:40.021, -80:10:05.94
1921-293, radec polcal, 19:24:51, -29:14:30
1938-155, radec polcal, 19:41:15.0289, -15:24:31.309
2032-350, radec polcal, 20:35:47.8091, -34:54:08.925
2113-211, radec polcal, 21:16:36.7, -20:55:58. 
3C446, radec polcal, 22:25:47.26, -04:57:01.6
2317-277, radec polcal,  23:19:56.2 , -27:27:56  
2326-477, radec polcal, 23:29:17.704,  -47:30:19.11
2345-167, radec polcal, 23:48:02.616, -16:31:12.097
