1934-638,radec bpcal,19:39:25.026,-63:42:45.63
J210336-274920,radec gaincal,21:03:36.230,-27:49:20.700
J2107-2526,radec gaincal,21:07:21,-25:26:48
J210933-411021,radec gaincal,21:09:33.120,-41:10:21.200
J211810-301916,radec gaincal,21:18:10.690,-30:19:15.100
PKS2117-61,radec gaincal,21:21:04.07,-61:11:24.62
2117-642,radec gaincal,21:21:55.02,-64:04:30.04
J212344+250410,radec gaincal,21:23:44.590,+25:04:10.800
PKSJ2129-1821,radec gaincal,21:29:21.42,-18:21:22.9
PKSJ2131-2036 | 2128-208 |J213101-203656 ,radec gaincal,21:31:01.52,-20:36:56.1
PKS2128-123 | J213135-120706 ,radec gaincal,21:31:35.26,-12:07:04.79
J213410-015317 | 2131-021,radec gaincal,21:34:10.310,-01:53:17.000
2134+004,radec gaincal,21:36:38.586323,+00:41:54.2140310
PKSJ2137-2036 ,radec gaincal,21:37:50.04,-20:36:56.1
2134-470,radec gaincal,21:38:01.06,-46:46:40.06
J214805+065739,radec gaincal,21:48:05.480,+06:57:39.400
2146-133,radec gaincal,21:49:28.65,-13:04:25.16
PKSJ2152-2828,radec gaincal,21:52:03.83,-28:28:29.6
PKSJ2158-1501,radec gaincal,21:58:06.30,-15:01:09.1
PKSJ2206-1835 | 2203-188,radec gaincal,22:06:10.42,-18:35:38.7
2205-636,radec gaincal,22:08:47.24,-63:25:47.49
PKSJ2211-1328,radec gaincal,22:11:24.18,-13:28:10.1
3C444,radec gaincal,22:14:25.60,-17:01:34.0
J221426-170220,radec gaincal,22:14:26.040,-17:02:20.400
J221811-302400,radec gaincal,22:18:11.100,-30:24:0.300
PKS2215-508,radec gaincal,22:18:19.03,-50:38:41.73
PKSJ2219-2756,radec gaincal,22:19:42.40,-27:56:20.0
J221942-275626,radec gaincal,22:19:42.570,-27:56:26.100
3C446,radec gaincal,22:25:47.26,-04:57:01.6
PKS2226-411,radec gaincal,22:29:18.61,-40:51:31.59
J222946-382359,radec gaincal,22:29:46.860,-38:23:58.000
J223236+114350 | CTA102 | 2230+114,radec gaincal,22:32:36.420,+11:43:50.400
PKS2232-488,radec gaincal,22:35:13.23,-48:35:58.79
PKSJ2237-1145,radec gaincal,22:37:46.68,-11:45:43.7
J224326-254430,radec gaincal,22:43:26.380,-25:44:30.300
PKS2243-123,radec gaincal,22:46:18.23,-12:06:51.28
J224703-365747,radec gaincal,22:47:03.920,-36:57:44.000
PKSJ2248-3235,radec gaincal,22:48:38.69,-32:35:52.2
3C454.3,radec gaincal,22:53:57.7479,16:08:53.560
PKSJ2258-2758,radec gaincal,22:58:05.95,-27:58:19.4
PKS2258-7014,radec gaincal,22:58:31.56,-70:14:39.72
J231007-275751,radec gaincal,23:10:07.400,-27:57:51.600
J231622-115714,radec gaincal,23:16:22.710,-11:57:14.300
J231634-140905,radec gaincal,23:16:34.840,-14:09:5.800
PKSJ2316+040,radec gaincal,23:16:35.21,04:05:18.15
J231953-365627,radec gaincal,23:19:53.530,-36:56:27.800
J232654-020210,radec gaincal,23:26:54.470,-02:02:10.300
PKS2326-477,radec gaincal,23:29:17.70,-47:30:19.11
J232933-192305,radec gaincal,23:29:33.740,-19:23:5.100
J233756-175223,radec gaincal,23:37:56.290,-17:52:23.800
J233859-041333,radec gaincal,23:38:59.190,-04:13:33.800
PKS2348-165,radec gaincal,23:48:02.61,-16:31:12.02
J235156-010916,radec gaincal,23:51:56.210,-1:09:16.300
J235731-112538,radec gaincal,23:57:31.250,-11:25:38.900
J235753-531115,radec gaincal,23:57:53.140,-53:11:15.600
