#    Source Name                S(PKS)  S(Fit)   S(Int)
     0043−424                     8.1     7.4      6.9
     0131−367                     7.1     7.0      6.3
     0252−712                     5.9     4.7      4.4
     0320−374                   136.0   125.3    110.6
     0407−658                    14.4    13.1     12.0
     0409−752                    13.4    11.6     10.9
     0518−458                    66.0    55.4     53.3
     0521−365                    16.3    14.8     14.7
     0634−205                     6.0     9.1        ? 
     0822−428 Puppis A          128.0   129.5    101.9
     0857−473 CTB31             250.0   248.1    232.0
     0915−118 Hydra A            43.5    43.4     39.7
     0922−517                    30.0    32.6     30.6
     1343−601 Cen B              79.0    98.7     84.4
     1610−771                     4.6     4.7        ?  
     1637−771                     5.8     4.9      4.5
     1716−35                      ?     421.5    345.4
     1721−34                      ?     659.0    605.4
     1814−637                    12.3    14.1        ? 
     1934−638                    16.4    13.0     12.0
     1932−464                    12.6    10.7      9.7
     1954−552                     6.0     5.8      5.3
     1938−155                     7.0     6.9      6.3
     2104−256                    11.2    11.7     10.5
     2152−699                    30.0    26.4     23.9
     2211−172                     8.6     7.5      7.0
     2356−611                    22.0    21.4     20.3
     LMC                        554.    584.          ?
     SMC                         52.     75.          ?
     CenA                         ?    1260.          ?
