1,0023-26,,0.32         ,00:25:49.18,-26:02:12.8, G,NLRG,CSS,2
2,0034-01,3C15,0.07     ,00:37:04.14,-01:09:08.2, G,WLRG,FRII,1
3,0035-02,3C17,0.22     ,00:38:20.51,-02:07:40.1, G,BLRG,(FRII),4
4,0038+09,3C18,0.19     ,00:40:50.53,+10:03:26.8, G,BLRG,FRII,4
5,0039-44,,0.35         ,00:42:09.03,-44:14:01.3, G,NLRG,FRII,2
6,0043-42,,0.12         ,00:46:17.75,-42:07:51.4, G,WLRG,FRII,1
7,0045-25,NCG253,0      ,00:47:33.1 ,-25:17:18  , G,,,1
8,0055-01,3C29,0.05     ,00:57:34.9 ,-01:23:28  , G,,,1
9,0105-16,3C32,0.4      ,01:08:16.90,-16:04:20.6, G,NLRG,FRII,2
10,0117-15,3C38,0.57    ,01:20:27.16,-15:20:17.8, G,NLRG,FRII,2
11,0123-01,3C40,0.02    ,01:25:59.8 ,-01:20:34  , G,,,1
12,0131-36,NGC612,0.03  ,01:33:57.7 ,-36:29:36  , G,,,1
13,0159-11,3C57,0.67    ,02:01:57.1 ,-11:32:33  , Q,,,5
14,0213-13,3C62,0.15    ,02:15:37.50,-12:59:30.5, G,NLRG,FRII,2
15,0235-19,OD-159,0.62  ,02:37:43.45,-19:32:33.3, G,BLRG,FRII,2
16,0240-00,NGC1068,0    ,02:42:40.7 ,-00:00:48  , G,,,4
17,0252-71,,0.57        ,02:52:46.26,-71:04:35.9, G,NLRG,CSS,2
18,0255+05,3C75,0.02    ,02:57:41.6 ,+06:01:29  , G,,,1
19,0305+03,3C78,0.03    ,03:08:26.2 ,+04:06:39  , G,,,1
20,0320-37,For A,0.01   ,03:22:41.7 ,-37:12:30  , G,,,1
21,0325+02,3C88,0.03    ,03:27:54.2 ,+02:33:42  , G,,,1
22,0347+05,,0.34        ,03:49:46.50,+05:51:42.3, G,BLRG,FRII,4
