#Name                 , RA2000   , Dec2000 ,Type  , z      ,Mag               
FBQS J0006-0004       ,00:06:22.6,-00:04:25,QSO   ,1.037000,19.3 
PKS 0008-42           ,00:10:52.5,-41:53:11,G     ,1.120000,18.2 
PKS 0022-423          ,00:24:43.0,-42:02:04,QSO   ,0.937000,21.0 
PKS 0023-26           ,00:25:49.1,-26:02:13,G     ,0.322000,20.5 
3C 015                ,00:37:04.1,-01:09:08,G     ,0.073000,18.0 
3C 017                ,00:38:20.5,-02:07:41,G     ,0.219685,19.39
3C 018                ,00:40:50.5,+10:03:23,G     ,0.188000,18.5 
PKS 0039-44           ,00:42:09.0,-44:14:00,G     ,0.346000,19.5 
3C 020                ,00:43:08.8,+52:03:34,G     ,0.174000,19.  
LCRS B004355.8-422414 ,00:46:17.7,-42:07:51,G     ,0.116000,17.20
NGC 0253              ,00:47:33.1,-25:17:18,G     ,0.000811, 8.04
UGC 00595             ,00:57:34.9,-01:23:28,G     ,0.045031,14.56
NGC 0383              ,01:07:24.9,+32:24:45,G     ,0.017005,13.38
3C 032                ,01:08:16.9,-16:04:21,G     ,0.400000,20.0 
3C 033                ,01:08:52.8,+13:20:14,GPair ,0.059700, ... 
PKS 0114-21           ,01:16:51.4,-20:52:07,G     ,1.410000,22.1 
4C +46.03             ,01:18:22.6,+47:12:16,RadioS,     ..., ... 
CGCG 502-027 NED02    ,01:19:35.0,+32:10:50,G     ,0.058600,16   
CGCG 502-027          ,01:19:35.0,+32:10:50,GPair ,0.060200, ... 
3C 038                ,01:20:27.1,-15:20:17,G     ,0.565000,21.0 
ARP 308               ,01:25:59.8,-01:20:34,GPair ,0.018000, ... 
3C 041                ,01:26:44.4,+33:13:11,G     ,0.795000,21.  
NGC 0612              ,01:33:57.7,-36:29:36,G     ,0.029771,13.16
3C 047                ,01:36:24.4,+20:57:27,QSO   ,0.425000,18.1 
[HB89] 0133+476       ,01:36:58.6,+47:51:29,QSO   ,0.859000,18.  
3C 048                ,01:37:41.3,+33:09:35,QSO   ,0.367000,16.06
PKS 0157-31           ,02:00:12.0,-30:53:25,QSO   ,0.677000,19.0 
3C 057                ,02:01:57.1,-11:32:33,QSO   ,0.669000,16.38
4C +15.05             ,02:04:50.4,+15:14:11,QSO   ,0.405000,22.1 
[HB89] 0208-512       ,02:10:46.2,-51:01:02,QSO   ,0.999000,16.93
PKS 0213-134          ,02:15:48.6,-13:13:39,RadioS,     ..., ... 
[HB89] 0212+735       ,02:17:30.8,+73:49:33,QSO   ,2.367000,19.  
