 Row          Object Name                 EquJ2000.0       Object  Velocity/Redshift    Mag./  Separ.               Number of                                 Row r of                                 Row 
 No.     (* => Essential Note)       RA               DEC  Type     km/s       z   Qual Filter arcmin Refs Notes Phot Posn Vel/z Diam Assoc Images   Spectra  No. 
1    FBQS J0006-0004                00h06m22.6s -00d04m25s QSO    >30000  1.037000      19.3     ...   124     0   69    5     1    4     0 Retrieve Retrieve 1   
2    PKS 0008-42                    00h10m52.5s -41d53m11s G      >30000  1.120000 PHOT 18.2     ...    27     2   23    4     1    0     0 Retrieve Retrieve 2   
3    PKS 0022-423                   00h24m43.0s -42d02m04s QSO    >30000  0.937000      21.0     ...    34     5   14    4     1    0     0 Retrieve Retrieve 3   
4   *PKS 0023-26                    00h25m49.1s -26d02m13s G      >30000  0.322000      20.5     ...    51     4   31    3     0    0     0 Retrieve Retrieve 4   
5    3C 015                         00h37m04.1s -01d09m08s G       21885  0.073000      18.0     ...   116     4   90    6     1    6     0 Retrieve Retrieve 5   
6    3C 017                         00h38m20.5s -02d07m41s G      >30000  0.219685      19.39    ...   114     6   61    5     0    0     0 Retrieve Retrieve 6   
7    3C 018                         00h40m50.5s +10d03m23s G      >30000  0.188000      18.5     ...    79     2   50    5     0    0     0 Retrieve Retrieve 7   
8    PKS 0039-44                    00h42m09.0s -44d14m00s G      >30000  0.346000      19.5     ...    30     5   23    3     0    0     0 Retrieve Retrieve 8   
9   *3C 020                         00h43m08.8s +52d03m34s G      >30000  0.174000      19.      ...   144     6   61    4     0    0     0 Retrieve Retrieve 9   
10   LCRS B004355.8-422414          00h46m17.7s -42d07m51s G      >30000  0.116000      17.20    ...    46     6   40    5     1    2     0 Retrieve Retrieve 10  
11  *NGC 0253                       00h47m33.1s -25d17m18s G         243  0.000811       8.04    ...  1081    25  161    7    14   20     0 Retrieve Retrieve 11  
12   UGC 00595                      00h57m34.9s -01d23m28s G       13500  0.045031      14.56    ...   169     6   78    9    10    7     1 Retrieve Retrieve 12  
13   NGC 0383                       01h07m24.9s +32d24m45s G        5098  0.017005      13.38    ...   373    18   91   10    12    6     1 Retrieve Retrieve 13  
14   3C 032                         01h08m16.9s -16d04m21s G      >30000  0.400000      20.0     ...    36     3   25    3     0    0     0 Retrieve Retrieve 14  
15   3C 033                         01h08m52.8s +13d20m14s GPair   17898  0.059700       ...     ...   286     0  114    6     2    3     0 Retrieve Retrieve 15  
16   PKS 0114-21                    01h16m51.4s -20d52m07s G      >30000  1.410000 :    22.1     ...    35     3   28    2     0    0     0 Retrieve Retrieve 16  
17  *4C +46.03                      01h18m22.6s +47d12m16s RadioS    ...       ...       ...     ...    13     0    7    3     0    0     1 Retrieve Retrieve 17  
18   CGCG 502-027 NED02             01h19m35.0s +32d10m50s G       17568  0.058600      16       ...    19     0    9    1     2    3     1 Retrieve Retrieve 18  
19   CGCG 502-027                   01h19m35.0s +32d10m50s GPair   18048  0.060200       ...     ...   119     9   29    5     3    0     1 Retrieve Retrieve 19  
20   3C 038                         01h20m27.1s -15d20m17s G      >30000  0.565000      21.0     ...    41     5   27    3     0    0     0 Retrieve Retrieve 20  
21   ARP 308                        01h25m59.8s -01d20m34s GPair    5396  0.018000       ...     ...   121     6   58    3     0    0     0 Retrieve Retrieve 21  
22   3C 041                         01h26m44.4s +33d13m11s G      >30000  0.795000      21.      ...   108     3   50    4     0    1     1 Retrieve Retrieve 22  
23   NGC 0612                       01h33m57.7s -36d29m36s G        8925  0.029771      13.16    ...   101     8   54    6     7   20     0 Retrieve Retrieve 23  
24  *3C 047                         01h36m24.4s +20d57m27s QSO    >30000  0.425000      18.1     ...   250     2  104    4     0    0     0 Retrieve Retrieve 24  
25   [HB89] 0133+476                01h36m58.6s +47d51m29s QSO    >30000  0.859000      18.      ...   203     2   50    4     0    0     0 Retrieve Retrieve 25  
26   3C 048                         01h37m41.3s +33d09m35s QSO    >30000  0.367000      16.06    ...   601    13  164    8     0    0     1 Retrieve Retrieve 26  
27   PKS 0157-31                    02h00m12.0s -30d53m25s QSO    >30000  0.677000      19.0     ...    33     3   32    2     1    0     0 Retrieve Retrieve 27  
28   3C 057                         02h01m57.1s -11d32m33s QSO    >30000  0.669000      16.38    ...   133     7   37    3     0    0     0 Retrieve Retrieve 28  
29  *4C +15.05                      02h04m50.4s +15d14m11s QSO    >30000  0.405000      22.1     ...   218     7   73    5     0    0     1 Retrieve Retrieve 29  
30   [HB89] 0208-512                02h10m46.2s -51d01m02s QSO    >30000  0.999000      16.93    ...   175     3   28    5     0    0     0 Retrieve Retrieve 30  
31   PKS 0213-134                   02h15m48.6s -13d13m39s RadioS    ...       ...       ...     ...     8     0    8    2     0    0     0 Retrieve Retrieve 31  
32   [HB89] 0212+735                02h17m30.8s +73d49m33s QSO    >30000  2.367000      19.      ...   185     4   43    4     0    0     0 Retrieve Retrieve 32  
33   3C 061.1                       02h22m36.0s +86d19m08s G      >30000  0.187810      19.      ...   124     5   52    1     0    0     0 Retrieve Retrieve 33  
34  *UGC 01841                      02h23m11.4s +42d59m31s G        6373  0.021258      15.0     ...   220    11   53    4     7    4     2 Retrieve Retrieve 34  
35   PKS 0235-19                    02h37m43.4s -19d32m33s G      >30000  0.620000      21.3     ...    40     5   27    2     0    0     0 Retrieve Retrieve 35  
36   [HB89] 0237-233                02h40m08.2s -23d09m16s QSO    >30000  2.223000      16.63    ...   314     8   64    3     1    0     0 Retrieve Retrieve 36  
37  *MESSIER 077                    02h42m40.7s -00d00m48s G        1137  0.003793       9.61    ...  1687    45  350   10    21    8     0 Retrieve Retrieve 37  
38   PKS 0252-71                    02h52m46.1s -71d04m35s G      >30000  0.568000      19.0     ...    34     4   19    4     0    0     0 Retrieve Retrieve 38  
39   NGC 1128                       02h57m41.6s +06d01m29s GPair    6941  0.023153       ...     ...   152     6   81    7    13    4     0 Retrieve Retrieve 39  
40   NGC 1218                       03h08m26.2s +04d06m39s G        8590  0.028653      13.84    ...   212     7  118   10     5    8     0 Retrieve Retrieve 40  
41  *3C 079                         03h10m00.1s +17d05m58s G      >30000  0.255900      19.0     ...   180     5  103    5     0    3     0 Retrieve Retrieve 41  
42   B3 0314+410                    03h17m59.5s +41d11m55s RadioS    ...       ...       ...     ...     6     0    3    3     0    0     1 Retrieve Retrieve 42  
43  *NGC 1265                       03h18m15.8s +41d51m28s G        7536  0.025137      13.22    ...   234    11   55    5     4    5     0 Retrieve Retrieve 43  
44   4C +16.09                      03h18m57.8s +16d28m33s QSO    >30000  0.907000      23.0     ...   122     4   72    3     1    0     0 Retrieve Retrieve 44  
45   NGC 1275                       03h19m48.1s +41d30m42s G        5264  0.017559      12.64    ...  1357    30  335   15    10    8     0 Retrieve Retrieve 45  
46   NGC 1316                       03h22m41.7s -37d12m30s G        1760  0.005871       9.42    ...   520    16  158    5    16   19     0 Retrieve Retrieve 46  
47   UGC 02748                      03h27m54.2s +02d33m42s G        9060  0.030221      14.85    ...   152     9   94    9     4    8     0 Retrieve Retrieve 47  
48   [HB89] 0336-019                03h39m30.9s -01d46m36s QSO    >30000  0.852000      18.41    ...   278     5   64    6     0    0     0 Retrieve Retrieve 48  
49  *4C +05.16                      03h49m46.5s +05d51m42s G      >30000  0.339000      20.9     ...    46     2   26    4     0    0     0 Retrieve Retrieve 49  
50   PKS 0349-27                    03h51m35.7s -27d44m35s G       19846  0.066199      16.41    ...    80     5   44    5     1    2     0 Retrieve Retrieve 50  
51   3C 098                         03h58m54.4s +10d26m03s G        9130  0.030454      15.93    ...   245     6  118    5     3    5     0 Retrieve Retrieve 51  
52   [HB89] 0403-132                04h05m34.0s -13d08m14s QSO    >30000  0.570550      17.17    ...   171     7   69    5     0    2     1 Retrieve Retrieve 52  
53   3C 105                         04h07m16.5s +03d42m26s G       26682  0.089000      18.5     ...    98     4   66    5     0    2     0 Retrieve Retrieve 53  
54   [HB89] 0405-123                04h07m48.4s -12d11m37s QSO    >30000  0.572590      14.82    ...   278     8   64    4     0    0     1 Retrieve Retrieve 54  
55   PKS 0408-65                    04h08m20.4s -65d45m09s QSO    >30000  0.962000      18.0     ...    39     4   37    4     1    0     0 Retrieve Retrieve 55  
56   PKS 0410-75                    04h08m48.5s -75d07m19s G      >30000  0.693000      21.7     ...    36     6   23    3     0    0     0 Retrieve Retrieve 56  
