#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS,Xrayref
0007+171, 0007+171,, 1.601,Q,,,Xray quasar, , l
0017+154, 3C9,, 2.012,Q,,,Xray quasar, , H
0056-001, 4C-00.06,, 0.720,Q,,,Xray quasar, , l
0106+013, 4C01.02,, 2.107,Q,,,Xray quasar, , o k
0109+176, 4C17.09,, 2.157,Q,,,Xray quasar, 14, k
0112-017, PKS0112-017,, 1.365,Q,,,Xray quasar, , z
0119+041, PKS0119+041,, 0.637,Q,,,Xray quasar, , o
0133+207, 3C47,, 0.425,Q,,,Xray quasar, 70, z
0134+329, 3C48,, 0.367,Q,,,Xray quasar, , H
0135-247, PKS0135-247,, 0.831,Q,,,Xray quasar, , l
0226-038, 4C-03.07,, 2.064,Q,,,Xray quasar, , H
0229+131, 4C13.14,, 2.065,Q,,,Xray quasar, , o
0229+341, 3C68.1,, 1.238,Q,,,Xray quasar, , H
0234+285, 4C28.07,, 1.213,Q,,,Xray quasar, , o
0237-027, PKS0237-027,, 1.116,Q,,,Xray quasar, , H
0237-235, PKS0237-235,, 2.263,Q,,,Xray quasar, , k H
0237+040, OD062,, 0.978,Q,,,Xray quasar, , h
0312-770, PKS0312-770,, 0.223,Q,,,Xray quasar, , z -H
0333+321, NRAO140,, 1.258,Q,,,Xray quasar, , H
0336-019, 0336-019,, 0.852,Q,,,Xray quasar, , o h
0400+258, B2_0400+258,, 2.109,Q,,,Xray quasar, , h
0403-132, PKS0403-132,, 0.571,Q,,,Xray quasar, , l
0409+299, 3C108,, 1.213,Q,,,Xray quasar, , H
0414-060, 3C110;4C-05.17,, 0.781,Q,,,Xray quasar, , z H
0420-014, PKS0420-014,, 0.915,Q,,,Xray quasar, , k
0424-131, PKS0424-131,, 2.165,Q,,,Xray quasar, <1, z
0438-436, PKS0438-436,, 2.852,Q,,,Xray quasar, , z
0440-003, NRAO190,, 0.850,Q,,,Xray quasar, , k
0458-020, 4C-02.09,, 2.286,Q,,,Xray quasar, , h
0518+165, 3C138,, 0.760,Q,,,Xray quasar, 1, z
0528-250, PKS0528-250,, 2.765,Q,,,Xray quasar, , z
0537-441, PKS0537-441,, 0.894,Q,,,Xray quasar, , z
0537-286, PKS0537-286,, 3.110,Q,,,Xray quasar, , z -H
0538+498, 3C147,, 0.545,Q,,,Xray quasar, 1, z
0607-157, PKS0607-157,, 0.324,Q,,,Xray quasar, , h
0637-752, PKS0637-752,, 0.651,Q,,,Xray quasar, , z -H
0642+449, OH471,, 3.402,Q,,,Xray quasar, , z -H
0710+118, 3C175,, 0.768,Q,,,Xray quasar, 50, z
0732-008, 0732-008,, 0.128,Q,,,Xray quasar, , h -H
0736+017, PKS0736+017,, 0.191,Q,,,Xray quasar, , k
0738+313, B2_0738+313,, 0.630,Q,,,Xray quasar, , h
0740+380, 3C186,, 1.063,Q,,,Xray quasar, 2, z
0758+114, 3C190,, 1.195,Q,,,Xray quasar, , H
0802+103, 3C191,, 1.956,Q,,,Xray quasar, 5, k
0805+046, 4C05.34,, 2.877,Q,,,Xray quasar, 4, k
0809+483, 3C196,, 0.871,Q,,,Xray quasar, , H
0827+243, OJ248,, 2.046,Q,,,Xray quasar, , H
0830+115, MC5_0830+115,, 2.974,Q,,,Xray quasar, , k -H
