#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS,Xrayref,LFVref,etc
0007+171, $,, 1.601,,,,Xray old,, P
0056-001, 4C-00.06,, 0.720,,,,Xray old,, P
0106+013, 4C01.02,, 2.107,,,,Xray old,, P
0112-017, PKS,, 1.365,,,,Xray old,, P
0119+041, PKS,, 0.637,,,,Xray old,, P
0133+207, 3C47,, 0.425,,,,Xray old,, MH KPW
0135-247, PKS,, 0.831,,,,Xray old,, P
0229+131, 4C13.14,, 2.065,,,,Xray old,, P
0235+285, 4C28.07,, 1.213,,,,Xray old,, P
0237+040, OD062,, 0.978,,,,Xray old,, P
0237-233, PKS,, 2.223,,,,Xray old,, P
0312-770, PKS,, 0.223,,,,Xray old,, E
0336-019, $,, 0.852,,,,Xray old,, P
0403-132, PKS,, 0.571,,,,Xray old,, K
0414-060, 3C110,, 0.781,,,,Xray old,, E
0420-014, PKS,, 0.915,,,,Xray old,, P
0424-131, PKS,, 2.165,,,,Xray old,, KF
0438-436, PKS,, 2.852,,,,Xray old,, P
0440-003, NRAO190,, 0.850,,,,Xray old,, OSC
0458-020, 4C-02.19,, 2.286,,,,Xray old,, K
0518+165, 3C138,, 0.760,,,,Xray old,, P
0528-250, PKS,, 2.765,,,,Xray old,, P
0537-286, PKS,, 3.110,,,,Xray old,, P
0537-441, PKS,, 0.894,,,,Xray old,, P
0538+498, 3C147,, 0.545,,,,Xray old,, P
0607-157, PKS,, 0.324,,,,Xray old,, P
0637-752, PKS,, 0.651,,,,Xray old,, K
0642+449, OH471,, 3.402,,,,Xray old,, P
0710+118, 3C175,, 0.768,,,,Xray old,, JPR KPW
0723-008, $,, 0.128,,,,Xray old,, P
0736+017, PKS,, 0.191,,,,Xray old,, DSC
0738+313, B2,, 0.630,,,,Xray old,, P
0740+380, 3C186,, 1.063,,,,Xray old,, RP KPW
0802+104, 3C191,, 1.956,,,,Xray old,, JPR KPW
0805+046, 4C05.34,, 2.877,,,,Xray old,, KF
0833+654, 3C204,, 1.112,,,,Xray old,, MH KPW
0835+580, 3C205,, 1.534,,,,Xray old,, MH KPW
0838+133, 3C207,, 0.684,,,,Xray old,, PH KPW
0850+140, 3C208,, 1.110,,,,Xray old,, MH KPW
0903+169, 3C215,, 0.411,,,,Xray old,, PH KPW
