PKS 0023-263 | J0025-2602, radec, 00:25:49.15625, -26:02:12.6168,
B0106+013, radec, 01:08:38.771, 01:35:00.317,
3C 48 | J0137+3309, radec, 01:37:41.30, 33:09:35.1, (1408.0 23780.0 2.465 -0.004 -0.1251)
PKS 0237-233 | J0240-2309, radec, 02:40:08.174510, -23:09:15.730850,
B0252-712, radec, 02:52:46.157, -71:04:35.28,
CTA21, radec, 03:18:57.802658, 16:28:32.698500,
PKS 0407-658 | J0408-6545, radec, 04:08:20.380, -65:45:09.08,
3C123, radec, 04:37:04.3750, 29:40:13.820,
3C133, radec, 05:02:58.5826, 25:16:24.242,
3C 138 | J0521+1638 | PKS 0518+16, radec, 05:21:09.89, 16:38:22.1, (1410.0 8400.0 -1.329 1.913 -0.3763)
B0521-365, radec, 05:22:57.984651, -36:27:30.850920,
Tau A | J0534+2200 | Taurus A | 3C 144 | Crab | PKS 0531+21, radec, 05:34:31.97, 22:00:52.1, (1400.0 10000.0 3.915 -0.299)
B0531+194, radec, 05:34:44.5183, 19:27:21.378,
Ori A | J0535-0523 | Orion A | M42 | 3C 145 | PKS 0532-05, radec, 05:35:17.26, -5:23:28.8, (1000.0 10000.0 -0.4299 1.641 -0.2195)
PKS 0624-058 | *3C 161 | J0627-0553, radec, 06:27:10.0960, -05:53:04.768,
B0741-063, radec, 07:44:21.6605, -06:29:35.888,
B0823-500, radec, 08:25:26.869, -50:10:38.49,
Hyd A | J0918-1205 | Hydra A | 3C 218 | PKS 0915-11, radec, 09:18:05.28, -12:05:48.9, (1408.0 10550.0 4.729 -1.025 0.013)
3C237, radec, 10:08:00.0160, 07:30:16.552,
B1127-145, radec, 11:30:07.0525, -14:49:27.388,
B1148-001, radec, 11:50:43.870761, -00:23:54.204900,
B1151-348, radec, 11:54:21.78718, -35:05:29.0763,
PKS 1226+023 | *3C 273 | J1229+0203, radec, 12:29:06.699729, 02:03:08.598190,
Vir A | J1230+1223 | Virgo A | 3C 274 | M87 | PKS 1228+12, radec, 12:30:49.42, 12:23:28.0, (1408.0 10550.0 4.484 -0.603 -0.028)
PKS 1253-055 | *3C 279 | J1256-0547, radec, 12:56:11.166560, -05:47:21.524580,
3C283, radec, 13:11:39.3347, -22:16:41.748,
3C287, radec, 13:30:37.6892, 25:09:10.978,
3C 286 | J1331+3030, radec, 13:31:08.29, 30:30:33.0, (1408.0 43200.0 0.956 0.584 -0.1644)
B1345+125, radec, 13:47:33.361645, 12:17:24.238900,
3C298, radec, 14:19:08.180173, 06:28:34.803490,
PKS 1421-490 | J1424-4913, radec, 14:24:32.23734, -49:13:49.7437,
B1549-790, radec, 15:56:58.871, -79:14:04.28,
3C345, radec, 16:42:58.809951, 39:48:36.993950,
B1717-358, radec, 17:20:21.8042, -35:52:47.708,
NRAO530, radec, 17:33:02.705790, -13:04:49.548230,
B1740-517, radec, 17:44:25.450619, -51:44:43.79199,
B1742-289, radec, 17:45:40.0383, -29:00:28.069,
B1814-637, radec, 18:19:35.002381, -63:45:48.18906,
B1819-096, radec, 18:22:28.7042, -09:38:56.835,
B1827-360, radec, 18:30:58.8829, -36:02:30.132,
PKS 1830-210 | J1833-2103, radec, 18:33:39.9150, -21:03:40.050,
3C391, radec, 18:49:22.40, -00:55:21.00,
OV-236 | PKS 1921-293 | J1924-2914, radec, 19:24:51.055957, -29:14:30.121150,
PKS 1934-638 | J1939-6342, radec, 19:39:25.026, -63:42:45.63,
B1938-155, radec, 19:41:15.0289, -15:24:31.309,
B2032-350, radec, 20:35:47.8091, -34:54:08.925,
B2050+364, radec, 20:52:52.054995, 36:35:35.300210,
B2134+00, radec, 21:36:38.586, 00:41:54.21,
B2203-188, radec, 22:06:10.417082, -18:35:38.746520,
3C446, radec, 22:25:47.259291, -04:57:01.390730,
CTA102, radec, 22:32:36.408914, 11:43:50.904100,
PKS 2251+158 | *3C 454.3 | J2253+1608, radec, 22:53:57.747932, 16:08:53.560890,
