#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-06-13T11:23:37 [V1.99+ (14-Oct-2013)]
#   In case of problem; please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ539ade9c320b	
#INFO	-out.max=1000	
#INFO	queryParameters=25	
#-oc.form=dec
#-out.max=1000
#-out.add=_r
#-out.add=_RAJ;_DEJ
#-sort=_r
#-order=I
#-out.src=VIII/35/catalog
#-nav=cat:VIII/35&tab:{VIII/35/catalog}&key:source=VIII/35/catalog&HTTPPRM:&&-ref=VIZ539ade9c320b&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ;_DEJ&-sort=_r&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=Cul&-out=n_Cul&-out=l_S(160)&-out=S(160)&S(160)=>40&-out=l_S(80)&-out=S(80)&-out=SpIndex&-out=_RA.icrs&-out=_DE.icrs&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=VIII/35/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-sort=_r
#-source=VIII/35/catalog
#-order=I
#-out=Cul
#-out=n_Cul
#-out=l_S(160)
#-out=S(160)
#S(160)=>40
#-out=l_S(80)
#-out=S(80)
#-out=SpIndex
#-out=_RA.icrs
#-out=_DE.icrs
#

#RESOURCE=yCat_8035
#Name: VIII/35
#Title: Radio Sources observed with Culgoora Circular Array (Slee 1995)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_35_catalog:
#Name: VIII/35/catalog
#Title: The CCA survey
#Column	_RAJ2000	(F8.4)	Right ascension (FK5; Equinox=J2000.0) (computed by VizieR; not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F8.4)	Declination (FK5; Equinox=J2000.0) (computed by VizieR; not part of the original data)	[ucd=pos.eq.dec]
#Column	Cul	(A8)	Source name (1)	[ucd=meta.id;meta.main]
#Column	n_Cul	(A1)	[*#] Note on Source (1)	[ucd=meta.note]
#Column	l_S(160)	(A1)	[<] Limit flag on S(160).	[ucd=meta.code.error]
#Column	S(160)	(F6.1)	? Flux density at 160 MHz (4)	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	l_S(80)	(A1)	[<] Limit flag on S(80).	[ucd=meta.code.error]
#Column	S(80)	(I4)	? Flux density at 80 MHz (4) [NULL integer written as an empty string]	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	SpIndex	(F5.2)	? Spectral index between 80 and 160 MHz (5)	[ucd=spect.index]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR; not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR; not part of the original data)	[ucd=pos.eq.dec]
_RAJ2000,_DEJ2000,Cul,n_Cul,l_S(160),S(160),l_S(80),S(80),SpIndex,_RA.icrs,_DE.icrs
deg,deg, , , ,Jy, ,Jy, ,"h:m:s","d:m:s"
--------,--------,--------,-,-,------,-,----,-----,----------,---------
017.2179,+13.3189,0106+130,*, ,  71.9, , 103,-0.52,01 08 52.3,+13 19 08
024.4366,+33.1516,0134+328, , ,  67.7, ,  86,-0.35,01 37 44.8,+33 09 06
059.7273,+10.4340,0356+102,*, ,  49.2, ,  90,-0.87,03 58 54.6,+10 26 02
069.2692,+29.6878,0433+295, , , 247.0, , 410,-0.73,04 37 04.6,+29 41 16
071.1549,-28.1617,0442-282, , ,  40.9, ,  68,-0.73,04 44 37.2,-28 09 42
079.9430,-45.7758,0518-458,*, , 452.0, ,    ,     ,05 19 46.3,-45 46 33
080.7375,-36.4522,0521-364, , ,  72.0, ,  99,-0.46,05 22 57.0,-36 27 08
083.6289,+22.0146,0531+219, , ,1256.0, ,1648,-0.39,05 34 30.9,+22 00 53
096.7954, -5.8892,0624-058, , ,  74.9, , 111,-0.57,06 27 10.9,-05 53 21
139.5286,-12.0978,0915-118, , , 243.0, , 528,-1.12,09 18 06.9,-12 05 52
146.9371, +7.4242,0945+076, , ,  45.2, ,  77,-0.77,09 47 44.9,+07 25 27
184.8459, +5.8278,1216+061,*, ,  56.1, , 102,-0.86,12 19 23.0,+05 49 40
187.2731, +2.0442,1226+023, , , 102.0, , 156,-0.61,12 29 05.5,+02 02 39
187.7060,+12.3870,1228+126, , , 566.0, ,1651,-1.54,12 30 49.4,+12 23 13
197.9149,-22.2746,1308-220, , ,  49.2, ,  64,-0.38,13 11 39.6,-22 16 29
201.3763,-42.9975,1322-427,*, ,1104.0, ,1582,-0.52,13 25 30.3,-42 59 51
214.7821, +6.4713,1416+067, , ,  63.2, ,  98,-0.63,14 19 07.7,+06 28 17
226.2472,+26.0096,1502+262, , ,  74.0, , 137,-0.89,15 04 59.3,+26 00 35
229.1924, +7.0264,1514+072, , ,  65.9, , 118,-0.84,15 16 46.2,+07 01 35
232.5576,-42.5318,1526-423, , ,  50.1, ,  84,-0.75,15 30 13.8,-42 31 54
240.6142, +1.9637,1559+021,*, ,  59.5, ,  76,-0.35,16 02 27.4,+01 57 49
252.7811, +4.9876,1648+050, , , 378.0, , 838,-1.15,16 51 07.5,+04 59 15
258.5307,-38.1941,1710-381, , ,  41.1, ,  36, 0.19,17 14 07.4,-38 11 39
258.6574,-38.5074,1711-384, , ,  78.2, , 113,-0.53,17 14 37.8,-38 30 27
260.1207, -0.9771,1717-009, , , 276.0, , 388,-0.49,17 20 29.0,-00 58 37
262.6709,-21.4865,1727-214, , ,  58.0, , 110,-0.92,17 30 41.0,-21 29 11
265.0791,-30.9650,1737-309, , ,  97.0, , 108,-0.15,17 40 19.0,-30 57 54
266.4381,-29.0195,1742-290, , , 109.0,<,   5,     ,17 45 45.1,-29 01 10
272.8747,-19.4295,1808-194, , ,  43.8, ,  40, 0.13,18 11 29.9,-19 25 46
282.3399, -0.9256,1846-009, , ,  51.4, ,  58,-0.17,18 49 21.6,-00 55 32
283.1429, +0.7226,1850+006, , ,  63.6, ,  43, 0.56,18 52 34.3,+00 43 21
286.8867, +7.1386,1905+070, , ,  57.9, ,  58, 0.00,19 07 32.8,+07 08 19
287.7722, +9.0964,1908+090, , ,  74.7, ,  51, 0.55,19 11 05.3,+09 05 47
293.9854,-46.3366,1932-464, , ,  91.6, , 154,-0.75,19 35 56.5,-46 20 12
303.6159,+23.5819,2012+234, , ,  99.0, , 160,-0.69,20 14 27.8,+23 34 55
316.8354,-25.4545,2104-256,*, ,  56.2, ,  67,-0.25,21 07 20.5,-25 27 16
320.9369,+25.0745,2121+248, , ,  64.1, , 112,-0.81,21 23 44.9,+25 04 28
333.6031,-17.0313,2211-172, , ,  79.2, , 146,-0.88,22 14 24.8,-17 01 53
354.6125,+26.9889,2335+267,*, ,  43.0, ,  70,-0.70,23 38 27.0,+26 59 20

