#Name, type, RA2000,Dec2000
PKS J0010-4153,radec gaincal,00:10:52.52,-41:53:10.8
PKS J0022+0014,radec gaincal,00:22:25.43,+00:14:56.2
PKS J0024-4202,radec gaincal,00:22:25.43,-42:02:03.9
PKS J0025-2602,radec gaincal,00:25:49.17,-26:02:12.7
PKS J0042-4414,radec gaincal,00:42:09.44,-44:14:15.4
PKS J0044-3530,radec gaincal,00:44:41.22,-35:30:41.5
PKS J0059+0006,radec gaincal,00:59:05.51,+00:06:51.6
3C48 ,radec bpcal,01:37:41.30,+33:09:35.1
PKS J0240-2309,radec gaincal,02:40:08.17,-23:09:15.7
PKS J0252-7104,radec gaincal,02:52:46.15,-71:04:35.3
PKS J0303-6211,radec gaincal,03:03:50.63,-62:11:25.6
PKS J0309-6058,radec gaincal,03:09:56.10,-60:58:39.1
PKS J0318+1628,radec gaincal,03:18:57.80,+16:28:32.7
PKS J0323+0534,radec gaincal,03:23:20.31,+05:34:11.9
PKS J0351-2744,radec gaincal,03:51:35.80,-27:44:33.0
PKS J0405-1308,radec gaincal,04:05:34.00,-13:08:13.7
PKS J0408-6544,radec gaincal,04:08:20.38,-65:45:09.6
PKS J0409-1757,radec gaincal,04:09:06.70,-17:57:08.0
PKS J0420-6223,radec gaincal,04:20:55.33,-62:23:39.7
3C123 ,radec gaincal,04:37:04.38,+29:40:13.8
PKS J0440-4333,radec gaincal,04:40:17.18,-43:33:08.6
PKS J0442-0017,radec gaincal,04:42:38.66,-00:17:43.4
PKS J0444-2809,radec gaincal,04:44:36.50,-28:09:44.0
PKS J0453-2807,radec gaincal,04:53:14.65,-28:07:37.3
PKS J0519-4546,radec gaincal,05:19:49.69,-45:46:44.5
3C138,radec bpcal,05:21:09.90,+16:38:22.1
PKS J0534+1927,radec gaincal,05:34:44.52,+19:27:21.4
PKS J0538-4405,radec gaincal,05:38:50.36,-44:05:08.9
3C147,radec bpcal,05:42:36.14,+49:51:07.2
PKS J0635-7516,radec gaincal,06:35:46.51,-75:16:16.8
PKS J0744-0629,radec gaincal,07:44:21.66,-06:29:35.9
PKS J0837-1951,radec gaincal,08:37:11.19,-19:51:55.9
PKS J0943-0819,radec gaincal,09:43:36.86,-08:19:32.0
PKS J1038-7003,radec gaincal,10:38:28.56,-70:03:08.9
PKS J1130-1449,radec gaincal,11:30:07.05,-14:49:27.2
PKS J1154-3505,radec gaincal,11:54:21.76,-35:05:29.4
3C274 ,radec gaincal,12:30:49.42,+12:23:28.0
PKS J1248-1959,radec gaincal,12:48:23.98,-19:59:18.6
PKS J1311-2216,radec gaincal,13:11:39.33,-22:16:41.7
PKS J1330+2509,radec gaincal,13:30:37.69,+25:09:10.9
3C286,radec bpcal,13:31:08.29,+30:30:33.0
3C295,radec bpcal,14:11:20.46,+52:12:09.5
PKS J1424-4913,radec gaincal,14:24:32.24,-49:13:49.7
PKS J1510-0543,radec gaincal,15:10:53.59,-05:43:07.4
PKS J1517-2422,radec gaincal,15:17:41.90,-24:22:19.5
PKS J1557-7913,radec gaincal,15:56:58.87,-79:14:04.3
PKS J1609+2641,radec gaincal,16:09:13.32,+26:41:29.0
3C348 ,radec gaincal,16:51:08.30,+04:59:34.9
PMN J1712-2809,radec gaincal,17:12:57.01,-28:09:33.6
3C353 ,radec gaincal,17:20:28.15,-00:58:46.8
PKS J1733-1304,radec gaincal,17:33:02.71,-13:04:49.5
PKS J1744-5144,radec gaincal,17:44:25.46,-51:44:43.8
PKS J1819-6345,radec gaincal,18:19:35.00,-63:45:48.2
PKS J1830-3602,radec gaincal,18:30:58.88,-36:02:30.1
PKS J1833-2103,radec gaincal,18:33:39.91,-21:03:40.1 
PKS J1924-2914,radec gaincal,19:24:51.11,-29:14:31.0
PKS J1935-4620,radec gaincal,19:35:56.50,-46:20:41.0
PKS 1934-638,radec bpcal,19:39:25.03,-63:42:45.63
PKS J1941-1524,radec gaincal,19:41:15.03,-15:24:31.3
PKS J1958-5509,radec gaincal,19:58:28.90,-55:09:12.0
3C405 ,radec gaincal,19:59:28.36,+40:44:02.1
PKS J2129-1821,radec gaincal,21:29:21.42,-18:21:22.9
PKS J2131-2036,radec gaincal,21:31:01.52,-20:36:56.1
PKS J2137-2036,radec gaincal,21:37:50.04,-20:36:56.1
PKS J2151-3027,radec gaincal,21:51:55.52,-30:27:53.6
PKS J2152-2828,radec gaincal,21:52:03.83,-28:28:29.6
PKS J2206-1835,radec gaincal,22:06:10.42,-18:35:38.7
3C444 ,radec gaincal,22:14:25.60,-17:01:34.0
PKS J2219-2756,radec gaincal,22:19:42.40,-27:56:20.0
3C446 ,radec gaincal,22:25:47.26,-04:57:01.6
PKS J2248-3235,radec gaincal,22:48:38.69,-32:35:52.2
