J001053-415311 | 0008-421,radec gaincal,00:10:52.52,-41:53:10.8,(145. 20000. -16.9316 15.3898 -4.2105 0.3496)
J002225+001456 | 0019-000,radec gaincal,00:22:25.42,+00:14:56.2
J002442-420203 | 0022-423,radec gaincal,00:24:42.989921,-42:02:03.950200
J002549-260212 | 0023-263,radec gaincal,00:25:49.17,-26:02:12.8,(333. 99000. -8.4450 9.2780 -2.7801 0.2499)
J005905+000651 | 0056-001,radec gaincal,00:59:05.53,+00:06:51.5,(74.   8400. -0.9051 1.8362 -0.6141 0.0518)
J010838+013458 | 0106+013,radec gaincal,01:08:38.75,+01:34:58.9
J013741+330935 | 3C48,radec bpcal,01:37:41.29,+33:09:35.13,(50. 50000. 0.5240 1.7377 -0.6396 0.0498)
J015537-404842 | 0153-410,radec gaincal,01:55:37.059378,-40:48:42.35645
J020340-434950 | 0201-440,radec gaincal,02:03:40.754300,-43:49:50.783,(80.  22000. 1.4053 0.1893 -0.1654 0.0030)
J021046-510102 | 0208-512,radec gaincal,02:10:46.08,-51:01:02.2
J023839+163659 | 0235+164,radec gaincal,02:38:38.930108,+16:36:59.27471
J024008-230916 | 0237-233,radec gaincal,02:40:08.14,-23:09:16.0,(365. 43000. -23.5170 20.5047 -5.5855 0.4851)
J025246-710436 | 0252-712,radec bpcal,02:52:46.31,-71:04:36.2,(145. 20000. 1.1245 0.7190 -0.2955 0.0096)
J030350-621125 | 0302-623,radec gaincal,03:03:50.81,-62:11:25.4 
J031857+162833 | CTA21,radec gaincal,03:18:57.77,16:28:33.1,(318. 43000. -13.4672 12.4587 -3.4110 0.2867)
J032320+053411 | 0320+053,radec gaincal,03:23:20.31,+05:34:11.9
J032958+275615 | 0326+277,radec gaincal,03:29:57.669413,+27:56:15.499140
J040306+260002 | 0400+258,radec gaincal,04:03:05.586048,+26:00:01.502740
J040533-130814 | 0403-132,radec gaincal,04:05:33.94,-13:08:14.4,(74.  22000. -0.8395 2.4438 -0.9451 0.1006)
J040820-654508 | 0408-658,radec bpcal,04:08:20.38,-65:45:09.6,(145. 18000. -0.9790 3.3662 -1.1216 0.0861)
J040906-175709 | 0406-180,radec gaincal,04:09:06.68,-17:57:09.4
J042056-622337 | 0420-625,radec gaincal,04:20:56.19,-62:23:37.6,(145. 20000. 4.7772 -2.1190 0.3788 -0.0433)
J042315-012032 | 0420-014,radec gaincal,04:23:15.8,-01:20:32.4
J043104+203734 | 0428+205,radec gaincal,04:31:03.7620,+20:37:34.250
J044017-433309 | 0438-436,radec gaincal,04:40:17.07,-43:33:09.0
J044737-220337 | 0445-221,radec gaincal,04:47:37.2822,-22:03:36.8051
J045314-280736 | 0451-282,radec gaincal,04:53:14.67,-28:07:36.6
J050321+020305 | 0500+019,radec gaincal,05:03:21.197177,+02:03:04.676380
J052109+163822 | 3C138,radec bpcal,05:21:09.93,+16:38:22.2,(50. 50000. 1.3781 0.1619 -0.0650 -0.0100)
J053444+192721 | 0531+194,radec gaincal,05:34:44.51,+19:27:21.7,(74.  22000. -3.4915 5.0261 -1.6476 0.1549)
J053850-440510 | 0537-441,radec gaincal,05:38:50.18,-44:05:10.3
J060941-154240 | 0607-157,radec gaincal,06:09:41.0,-15:42:40.5
J061636-345617 | 0614-349,radec gaincal,06:16:35.981369,-34:56:16.5633960,(80.  20000. 1.6678 -0.2215 -0.0396 -0.0044)
J063215+102202 | 0629+104,radec gaincal,06:32:15.3269,+10:22:01.676
J072550-005458 | 0723-008,radec gaincal,07:25:50.68,-00:54:58.0
J073019-114112 | 0727-115,radec gaincal,07:30:19.15,-11:41:12.3
J073545-173548 | 0733-174,radec gaincal,07:35:45.84,-17:35:48.3
J073918+013705 | 0736+017,radec gaincal,07:39:18.033894,+ 01:37:04.618030
J074533+101113 | 0742+103,radec gaincal,07:45:33.059511,+10:11:12.692470
J082536-501028 | 0823-500,radec bpcal,08:25:26.86,-50:10:38.486,(408. 22000. -33.5795 27.9753 -7.3670 0.6198)
J082805-373106 | 0826-373,radec gaincal,08:28:04.780268,-37:31:06.280640
J084205+183541 | 0839+187,radec gaincal,08:42:05.094180,+18:35:40.990610
J085448+200630 | OJ287,radec gaincal,08:54:48.87,+20:06:30.7
J090652-682939 | 0906-682,radec gaincal,09:06:52.23,-68:29:39.9,(145. 20000. 0.7680 1.3416 -0.6601 0.0573)
J100800+074016 | 3C237,radec gaincal,10:08:00.016,+07:30:16.552,(145. 43000. 3.1549 -1.0771 0.2183 -0.0356)
J105132-202347 | 1049-201,radec gaincal,10:51:32.11,-20:23:47.9,(74.  20000. 2.3790 -1.0425 0.2814 -0.0538)
J105829+013358 | 1055-018,radec gaincal,10:58:29.62,+01:33:58.2
J112009-250807 | 1117-248,radec gaincal,11:20:09.14,-25:08:07.2,(74.  20000.-2.3434 2.3685 -0.5616 0.0226)
J112028+142055 | 1117+146,radec gaincal,11:20:27.807267,+14:20:54.991600
