                 00:52:18.990,-72:40:53.84
J0116-4722       01:16:44.810,-47:33:48.10
J0216-4749       02:15:31.224,-47:32:41.24
J0236-5541       02:47:01.059,-55:43:03.86
0252-712         02:50:41.452,-71:32:05.37
J0321-4510       03:21:00.482,-45:03:30.88
0407-658         04:08:18.595,-65:24:22.84
J0408-7507       04:08:45.626,-75:16:41.88
0423-536         04:27:42.143,-54:12:44.94
J0514-4845       05:13:30.173,-48:44:03.29
MC74             05:33:04.625,-69:03:11.38
0624-546         06:23:16.659,-53:43:24.23
0637-752         06:36:59.090,-75:02:01.22
0738-674         07:44:42.696,-67:19:29.67
0842-754         08:51:23.418,-75:24:17.88
                 10:45:00.631,-59:39:39.51
12-51            12:11:20.034,-52:31:41.77
                 15:42:12.490,-79:01:06.40
16-61            16:09:40.555,-60:38:02.11
J1819-6345       18:21:31.669,-63:43:17.45
J1935-4620       19:37:50.686,-46:29:33.17
1941-554         19:55:26.561,-54:59:38.62
J2010-5626       20:10:44.742,-56:39:34.46
J2147-8132       21:37:32.464,-81:33:00.87
J2143-4312       21:40:35.750,-43:33:01.52
21-64            21:58:08.533,-69:23:42.62
23-64            23:59:57.367,-60:37:21.27
