L1448, radec J2000 maser, 03:25:36.63, 30:45:20.9, (0.0 0.0 0.0 0.0 0.0)
Orion, radec J2000 maser, 05:35:14.54, -5:22:45.9, (0.0 0.0 0.0 0.0 0.0)
S269, radec J2000 maser, 6:14:37.51, 13:49:30.2, (0.0 0.0 0.0 0.0 0.0)
VYCma, radec J2000 maser, 7:22:59.09, -25:46:06.1, (0.0 0.0 0.0 0.0 0.0)
RCRT, radec J2000 maser, 11:00:33.89, -18:19:20.8, (0.0 0.0 0.0 0.0 0.0)
RTVIR, radec J2000 maser, 13:02:36.76, 5:11:12.2 ,(0.0 0.0 0.0 0.0 0.0)
WHYD, radec J2000 maser, 13:49:00.96, -28:21:44.7 ,(0.0 0.0 0.0 0.0 0.0)
UHer, radec J2000 maser, 16:25:45.61, 18:53:35.6 ,(0.0 0.0 0.0 0.0 0.0)
IRAS1629, radec J2000 maser, 16:32:20.58, -24:28:25.5 ,(0.0 0.0 0.0 0.0 0.0)
GD25,radec J2000 maser, 17:20:15.11, -35:54:31.4 ,(0.0 0.0 0.0 0.0 0.0)
W31,radec J2000 maser, 18:08:35.93, -19:51:46.6 ,(0.0 0.0 0.0 0.0 0.0)
W42,radec J2000 maser, 18:36:10.12, -7:12:06.8 ,(0.0 0.0 0.0 0.0 0.0)
34.3+01,radec J2000 maser, 18:53:16.45, 1:14:59.2 ,(0.0 0.0 0.0 0.0 0.0)
W49N,radec J2000 maser, 19:10:11.18, 9:06:15.4 ,(0.0 0.0 0.0 0.0 0.0)
W51,radec J2000 maser, 19:23:41.71, 14:30:38.8 ,(0.0 0.0 0.0 0.0 0.0)
ON1,radec J2000 maser, 20:10:07.12, 31:31:40.8 ,(0.0 0.0 0.0 0.0 0.0)
