#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:49:57 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244583b40	
#INFO	-out.max=unlimited	
#INFO	queryParameters=21	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:VIII/16&tab:{VIII/16/mrcj2000}&key:source=VIII/16&HTTPPRM:&-out.max=20&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/16/mrcj2000
#-order=I
#-out=MRC
#-out=RAB1950
#-out=DEB1950
#-out=RA2000
#-out=DE2000
#-out=S408
#-out=e_S408
#-out=n_S408
#-out=Mflag
#-out=Cflag
#

#RESOURCE=yCat_8016
#Name: VIII/16
#Title: Molonglo Reference Catalogue of Radio Sources (Large+ 1991)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_16_mrcj2000:
#Name: VIII/16/mrcj2000
#Title: Catalog Data
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	MRC	(a9)	Recommended IAU name of the source based on B1950 equinox.	[ucd=meta.id;meta.main]
#Column	RAB1950	(A10)	Right ascension in B1950 equinox	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	DEC in degrees in B1950 equinox	[ucd=pos.eq.dec;meta.main]
#Column	RA2000	(A10)	Right ascension in J2000 equinox (Converted from B1950 using the STARLINK program COCO)	[ucd=pos.eq.ra]
#Column	DE2000	(A9)	DEC in J2000 equinox	[ucd=pos.eq.dec]
#Column	S408	(F7.2)	Flux density	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	e_S408	(F5.2)	Standard error	[ucd=stat.error]
#Column	n_S408	(A1)	[*] scattering flag (1)	[ucd=meta.note]
#Column	Mflag	(A3)	[ AECMN] *Morphology flags	[ucd=meta.code]
#Column	Cflag	(A3)	[ CJMPRST] Cross-reference flags.	[ucd=meta.code]
_RAJ2000	_DEJ2000	MRC	RAB1950	DEB1950	RA2000	DE2000	S408	e_S408	n_S408	Mflag	Cflag
"h:m:s"	"d:m:s"	 	"h:m:s"	"d:m:s"	"h:m:s"	"d:m:s"	Jy	Jy	 	 	
----------	---------	---------	----------	---------	----------	---------	-------	-----	-	---	---
00 02 42.5	-50 24 48	0000-506 	00 00 09.2	-50 41 31	00 02 42.5	-50 24 49	   1.28	 0.06	 	   	 P
00 02 45.9	-30 28 27	0000-307 	00 00 12.4	-30 45 09	00 02 45.9	-30 28 27	   1.49	 0.06	 	   	 P
00 02 53.5	-56 21 02	0000-566 	00 00 20.4	-56 37 45	00 02 53.5	-56 21 03	   2.07	 0.10	 	   	 P
00 03 06.9	-13 07 59	0000-134 	00 00 33.3	-13 24 41	00 03 06.9	-13 07 59	   0.85	 0.08	 	   	
00 03 09.9	-14 40 30	0000-149 	00 00 36.3	-14 57 12	00 03 09.9	-14 40 30	   1.99	 0.10	 	   	 P
00 03 10.2	-16 15 10	0000-165 	00 00 36.6	-16 31 52	00 03 10.2	-16 15 10	   1.08	 0.05	 	   	 P
00 03 10.5	-54 44 55	0000-550 	00 00 37.5	-55 01 38	00 03 10.5	-54 44 56	   2.76	 0.13	 	   	 P
00 03 13.2	-35 56 34	0000-362 	00 00 39.8	-36 13 16	00 03 13.2	-35 56 34	   2.44	 0.08	 	   	 P
00 03 13.9	-59 05 44	0000-593 	00 00 41.1	-59 22 27	00 03 13.9	-59 05 45	   0.82	 0.07	 	   	
00 03 22.1	-17 27 11	0000-177 	00 00 48.5	-17 43 53	00 03 22.1	-17 27 11	   6.51	 0.27	 	   	 P
00 03 25.4	-67 01 28	0000-673 	00 00 53.1	-67 18 11	00 03 25.4	-67 01 29	   0.85	 0.07	 	   	
00 03 27.5	-15 47 11	0000-160 	00 00 53.9	-16 03 53	00 03 27.5	-15 47 11	   1.23	 0.08	 	   	 P
00 03 41.3	+13 06 20	0001+128 	00 01 07.4	+12 49 38	00 03 41.3	+13 06 20	   3.81	 0.17	 	   	 P
00 03 42.7	-11 51 48	0001-121 	00 01 09.1	-12 08 30	00 03 42.7	-11 51 48	   1.15	 0.10	 	   	
00 03 42.9	-17 40 28	0001-179 	00 01 09.4	-17 57 10	00 03 42.9	-17 40 28	   1.59	 0.06	 	   	
00 03 44.4	-11 08 27	0001-114 	00 01 10.8	-11 25 09	00 03 44.4	-11 08 27	   0.94	 0.04	*	   	 P
00 03 48.0	-23 29 42	0001-237 	00 01 14.6	-23 46 24	00 03 48.1	-23 29 42	   1.77	 0.06	 	   	 P
00 03 53.9	-38 27 04	0001-387 	00 01 20.7	-38 43 46	00 03 53.9	-38 27 04	   0.90	 0.05	 	   	 P
00 03 55.1	-30 59 47	0001-312 	00 01 21.8	-31 16 29	00 03 55.1	-30 59 47	   2.52	 0.09	 	   	 P
00 03 55.9	-10 53 11	0001-111 	00 01 22.3	-11 09 53	00 03 55.9	-10 53 11	   1.02	 0.04	 	   	 P
00 04 00.4	+06 07 40	0001+058 	00 01 26.6	+05 50 58	00 04 00.5	+06 07 40	   1.28	 0.08	 	   	
00 04 02.8	-23 06 57	0001-233 	00 01 29.4	-23 23 39	00 04 02.8	-23 06 57	   1.23	 0.05	 	C  	 P
00 04 09.5	+17 17 52	0001+170 	00 01 35.5	+17 01 10	00 04 09.5	+17 17 52	   1.61	 0.06	 	   	
00 04 12.9	-52 53 53	0001-531 	00 01 40.3	-53 10 35	00 04 12.9	-52 53 53	   1.25	 0.24	 	   	 P
00 04 17.3	-22 12 54	0001-224 	00 01 43.9	-22 29 36	00 04 17.3	-22 12 54	   0.81	 0.06	 	   	
00 04 19.7	-55 46 56	0001-560 	00 01 47.3	-56 03 38	00 04 19.8	-55 46 56	   1.63	 0.09	 	   	 P
00 04 32.5	-41 43 50	0001-420 	00 01 59.6	-42 00 32	00 04 32.5	-41 43 50	   0.84	 0.07	 	   	 P
00 04 42.6	+12 49 08	0002+125B	00 02 08.6	+12 32 26	00 04 42.6	+12 49 08	   2.58	 0.12	 	M  	 S
00 04 55.6	+12 48 10	0002+125A	00 02 21.6	+12 31 28	00 04 55.6	+12 48 10	   2.77	 0.13	 	M  	 PS
00 04 55.8	-51 23 00	0002-516 	00 02 23.4	-51 39 42	00 04 55.8	-51 23 00	   1.01	 0.05	 	   	
00 05 07.7	-62 20 12	0002-626 	00 02 36.1	-62 36 54	00 05 07.7	-62 20 12	   0.94	 0.05	 	   	
