#IAUname,Alias1,Alias2,redshift,Q/B/G,RA2000,Dec2000,fromfile,LAS
0003-003 ,3C2      ,,1.037,Q,,,nilsson,   5.0
0003+15  ,4C15.01  ,,0.450,Q,,,nilsson,  31.5
0006+014 ,         ,,1.302,Q,,,nilsson,  16.5
0007+12  ,4C12.03  ,,0.157,G,,,nilsson, 160.0
0007+33  ,4C33.01  ,,0.743,Q,,,nilsson,  79.0
0013+79  ,3C6.1    ,,0.840,G,,,nilsson,  26.0
0017+154 ,3C9      ,,2.012,Q,,,nilsson,  12.5
0017+257 ,4C25.01  ,,0.284,Q,,,nilsson,  47.0
0018-19  ,         ,,0.095,G,,,nilsson, 252.0
0031+391 ,3C13     ,,1.351,G,,,nilsson,  28.0
0032+423 ,4C42.01  ,,1.588,Q,,,nilsson,   4.5
0033+079 ,4C08.04  ,,1.578,Q,,,nilsson,   3.3
0033+098 ,4C09.01  ,,1.918,Q,,,nilsson,   8.0
0033+18  ,3C14     ,,1.469,Q,,,nilsson,  24.0
0035+130 ,3C16     ,,0.405,G,,,nilsson,  60.0
0038-019 ,4C-02.04 ,,1.690,Q,,,nilsson,  20.0
0038+32  ,3C19     ,,0.482,G,,,nilsson,   9.6
0040+514 ,3C20     ,,0.350,G,,,nilsson,  53.0
0041+119 ,4C11.06  ,,0.228,Q,,,nilsson,  45.0
0042+101 ,         ,,0.583,Q,,,nilsson,  59.0
0044+030 ,         ,,0.624,Q,,,nilsson,  11.7
0046-067 ,4C-06.04 ,,2.063,Q,,,nilsson,   8.4
0048+50  ,3C22     ,,0.937,G,,,nilsson,  24.0
0052+682 ,3C27     ,,0.184,G,,,nilsson,  46.0
0053+26  ,3C28     ,,0.195,G,,,nilsson,  38.0
0055+300 ,N315     ,,0.017,G,,,nilsson,3100.0
0059+14  ,4C14.03  ,,0.188,G,,,nilsson,  41.0
0106+013 ,4C01.02  ,,2.107,Q,,,nilsson,   6.8
0106+13  ,3C33     ,,0.060,G,,,nilsson, 249.0
0106+729 ,3C33.1   ,,0.181,G,,,nilsson, 216.0
0107+315 ,3C34     ,,0.689,G,,,nilsson,  48.0
0109+176 ,4C17.09  ,,2.157,Q,,,nilsson,  13.0
0109+49  ,3C35     ,,0.067,G,,,nilsson, 672.0
0110+297 ,4C29.02  ,,0.363,Q,,,nilsson,  76.2
0114-47  ,         ,,0.146,G,,,nilsson, 580.0
0115+027 ,4C02.04  ,,0.672,Q,,,nilsson,  13.1
0118+034 ,4C03.02  ,,0.765,Q,,,nilsson,  44.2
0119-046 ,4C-04.04 ,,1.948,Q,,,nilsson,   3.6
0123+32  ,3C41     ,,0.795,G,,,nilsson,  23.1
0125+28  ,3C42     ,,0.395,G,,,nilsson,  28.0
0127+233 ,3C43     ,,1.459,Q,,,nilsson,   2.8
0130+242 ,4C24.02  ,,0.457,Q,,,nilsson,  54.6
0131-36  ,N612     ,,0.029,G,,,nilsson, 852.0
