#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2013-07-26T09:44:39 [V1.97 (28-Nov-2012)]
#   In case of problem, please report to:	question@simbad.u-strasbg.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.97 (28-Nov-2012)	
#INFO	-ref=VIZ51f244503a49	
#INFO	-out.max=unlimited	
#INFO	queryParameters=29	
#-oc.form=sexa
#-out.max=unlimited
#-out.add=_RAJ,_DEJ
#-nav=cat:VIII/15&tab:{VIII/15/pkscat90}&tab:{VIII/15/refs}&key:source=VIII/15&HTTPPRM:&&-ref=VIZ51f244503a49&-file=.&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=dec&-c.r=  2&-c.geom=r&-order=I&-out.form=verb&-out=Bname&-out=Alias&-out=RAB1950&-out=DEB1950&-out=Ident&-out=z&-out=S80&-out=S178&-out=S408&-out=S635&-out=S1410&-out=S2700&-out=S5000&-out=Jname&-out=errPos&-out=r_z&-out=Ref&-out=BibCode&-out=Authors&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=unlimited&-out.form=Tab-Separated-Values&-c.eq=J2000&-c.u=arcmin&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=VIII/15/pkscat90,VIII/15/refs
#-order=I
#-out=Bname
#-out=Alias
#-out=RAB1950
#-out=DEB1950
#-out=Ident
#-out=z
#-out=S80
#-out=S178
#-out=S408
#-out=S635
#-out=S1410
#-out=S2700
#-out=S5000
#-out=Jname
#-out=errPos
#-out=r_z
#-out=Ref
#-out=BibCode
#-out=Authors
#
#INFO	CatalogsExamined=2	
#  2 catalogues with potential matches were examined.
#

#RESOURCE=yCat_8015
#Name: VIII/15
#Title: Parkes Radio Sources Catalogue (PKSCAT90) (Wright+ 1990)
#Coosys	B1950:	eq_FK4 B1950
#Table	VIII_15_pkscat90:
#Name: VIII/15/pkscat90
#Title: The Catalogue
#Column	_RAJ2000	(A10)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(A9)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data)	[ucd=pos.eq.dec]
#Column	Bname	(a10)	B1950 source name	[ucd=meta.id;meta.main]
#Column	Alias	(a7)	Alias/other catalogue names	[ucd=meta.id]
#Column	RAB1950	(A10)	Right Ascension B1950.0 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DEB1950	(A9)	Declination B1950.0 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	Ident	(A4)	Identification of source (1)	[ucd=src.class]
#Column	z	(F6.3)	? Redshift (reference in r_z)	[ucd=src.redshift]
#Column	S80	(F8.3)	? Flux density at 80 MHz	[ucd=phot.flux.density;em.radio.20-100MHz]
#Column	S178	(F8.3)	? Flux density at 178 MHz	[ucd=phot.flux.density;em.radio.100-200MHz]
#Column	S408	(F8.3)	? Flux density at 408 MHz	[ucd=phot.flux.density;em.radio.200-400MHz]
#Column	S635	(F8.3)	? Flux density at 635 MHz	[ucd=phot.flux.density;em.radio.400-750MHz]
#Column	S1410	(F8.3)	? Flux density at 1410 MHz (21cm)	[ucd=phot.flux.density;em.radio.750-1500MHz]
#Column	S2700	(F8.3)	? Flux density at 2700 MHz (11cm)	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	S5000	(F8.3)	? Flux density at 5000 MHz (6cm)	[ucd=phot.flux.density;em.radio.3-6GHz]
#Column	Jname	(a11)	J2000 Name	[ucd=meta.id]
#Column	errPos	(F5.2)	? positional accuracy in arcsec. (to be read as "better than")	[ucd=stat.error]
#Column	r_z	(a20)	Comma-separated references for z (see file refs.dat)	[ucd=meta.ref]
_RAJ2000	_DEJ2000	Bname	Alias	RAB1950	DEB1950	Ident	z	S80	S178	S408	S635	S1410	S2700	S5000	Jname	errPos	r_z
"h:m:s"	"d:m:s"	 	 	"h:m:s"	"d:m:s"	 	 	Jy	Jy	Jy	Jy	Jy	Jy	Jy	 	arcsec	
----------	---------	----------	-------	----------	---------	----	------	--------	--------	--------	--------	--------	--------	--------	-----------	-----	--------------------
00 03 11.5	+03 50 18	B0000+035 	       	00 00 37.7	+03 33 36	X   	      	        	        	        	        	        	   0.120	        	J0003+0350 	20.00	
00 02 57.0	-00 24 47	B0000-006 	       	00 00 23.2	-00 41 29	*   	      	        	        	        	        	        	   0.220	        	J0002-0024 	20.00	
00 03 20.8	-01 56 52	B0000-022 	       	00 00 47.1	-02 13 34	Xs  	      	        	        	        	        	        	   0.160	   0.110	J0003-0156 	20.00	
00 03 09.6	-14 40 14	B0000-149 	       	00 00 36.0	-14 56 56	Xg  	      	        	        	   1.990	        	        	   0.340	   0.230	J0003-1440 	20.00	
00 03 27.3	-15 47 06	B0000-160 	       	00 00 53.7	-16 03 48	X   	      	        	        	   1.230	        	        	   0.300	   0.260	J0003-1547 	20.00	
00 03 11.1	-16 15 11	B0000-165 	       	00 00 37.5	-16 31 53	Xs  	      	        	        	   1.080	        	        	   0.250	   0.150	J0003-1615 	20.00	
00 03 22.0	-17 27 12	B0000-177 	       	00 00 48.4	-17 43 54	Q   	 1.465	  19.000	        	   6.510	        	   2.200	   1.370	   0.950	J0003-1727 	 0.50	
00 03 22.4	-19 26 23	B0000-197 	OB-100 	00 00 48.9	-19 43 05	Xs  	      	        	        	        	        	        	   0.230	        	J0003-1926 	20.00	
00 02 43.0	-30 28 14	B0000-307 	       	00 00 09.5	-30 44 56	Xs  	      	        	        	   1.490	        	        	   0.230	        	J0002-3028 	20.00	
00 03 09.3	-35 55 41	B0000-362 	       	00 00 35.9	-36 12 23	S   	      	  19.000	        	   2.440	        	        	   0.220	        	J0003-3555 	20.00	
00 02 37.3	-50 24 49	B0000-506 	       	00 00 04.0	-50 41 32	Xs  	      	        	        	   1.280	        	        	   0.150	        	J0002-5024 	20.00	
00 03 08.7	-54 45 15	B0000-550 	       	00 00 35.7	-55 01 58	G   	      	        	        	   2.760	        	   1.210	   0.710	   0.520	J0003-5445 	20.00	
00 02 53.8	-56 21 09	B0000-566 	       	00 00 20.7	-56 37 52	Xs  	      	        	        	   2.070	        	        	   0.600	   0.360	J0002-5621 	20.00	
00 03 40.6	+04 00 30	B0001+037 	       	00 01 06.8	+03 43 48	Xs  	      	        	        	        	        	        	   0.170	        	J0003+0400 	20.00	
00 03 41.4	+13 06 43	B0001+128 	4C12.01	00 01 07.5	+12 50 01	X   	      	  19.000	   7.400	   3.810	        	        	   0.660	   0.390	J0003+1306 	20.00	
00 03 51.6	-10 53 28	B0001-111 	       	00 01 18.0	-11 10 10	Xg  	      	        	        	   1.020	        	        	   0.170	        	J0003-1053 	20.00	
00 03 42.7	-11 08 49	B0001-114 	       	00 01 09.1	-11 25 31	Xs  	      	        	        	   0.940	        	        	   0.210	        	J0003-1108 	20.00	
00 03 57.6	-11 49 54	B0001-121 	       	00 01 24.0	-12 06 36	X   	      	        	        	        	        	        	   0.270	   0.220	J0003-1149 	20.00	
00 03 34.6	-15 17 00	B0001-155 	       	00 01 01.0	-15 33 42	Xs  	      	        	        	        	        	        	   0.180	        	J0003-1516 	20.00	
00 04 03.9	-23 06 54	B0001-233 	       	00 01 30.5	-23 23 36	E   	      	        	        	   1.230	        	        	   0.250	   0.120	J0004-2306 	20.00	
00 03 46.9	-23 29 28	B0001-237 	       	00 01 13.5	-23 46 10	Xs  	      	        	        	   1.770	        	        	   0.350	   0.210	J0003-2329 	20.00	
00 03 55.2	-31 00 20	B0001-312 	       	00 01 21.9	-31 17 02	X   	      	        	        	   2.520	        	        	   0.440	   0.220	J0003-3100 	20.00	
00 03 53.2	-38 27 05	B0001-387 	       	00 01 20.0	-38 43 47	Xs  	      	        	        	   0.900	        	        	   0.270	   0.160	J0003-3827 	20.00	
00 03 48.2	-41 14 17	B0001-415 	       	00 01 15.1	-41 30 59	X   	      	        	        	        	        	        	   0.110	        	J0003-4114 	20.00	
00 04 32.0	-41 43 14	B0001-419 	       	00 01 59.1	-41 59 56	Xs  	      	        	        	   0.840	        	        	   0.180	        	J0004-4143 	20.00	
00 04 08.4	-43 45 30	B0001-440 	       	00 01 35.4	-44 02 12	Xs  	      	        	        	        	        	        	   0.280	   0.200	J0004-4345 	20.00	
