#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2014-04-23T11:42:36 [V1.99+ (14-Oct-2013)]
#   In case of problem; please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5357a5593063	
#INFO	-out.max=200	
#INFO	queryParameters=17	
#-oc.form=dec
#-order=I
#-nav=cat:J/A+A/386/97&tab:{J/A+A/386/97/tablea1}&key:source=J/A+A/386/97/tablea1&HTTPPRM:&&-ref=VIZ5357a5593063&-file=-c&-order=I&-oc.form=sexa&-out.src=J/A+A/386/97/tablea1&-c.r=  2&-c.geom=r&-out=PKS&-out=S2.7GHz&S2.7GHz=>1&-out=_RA.icrs&-out=_DE.icrs&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.max=200&-out.form=HTML Table&-c.eq=J2000&-c.u=arcmin&
#-c.r=  2
#-c.geom=r
#-order=I
#-out.src=J/A+A/386/97/tablea1
#-source=J/A+A/386/97/tablea1
#-order=I
#-out=PKS
#-out=S2.7GHz
#S2.7GHz=>1
#-out=_RA.icrs
#-out=_DE.icrs
#-out.max=200
#-c.eq=J2000
#-c.u=arcmin
#

#RESOURCE=yCat_33860097
#Name: J/A+A/386/97
#Title: The Parkes quarter-Jansky flat-spectrum sample (Jackson+; 2002)
#Coosys	B1950:	eq_FK4 B1950
#Table	J_A_A_386_97_tablea1:
#Name: J/A+A/386/97/tablea1
#Title: The complete catalogue of the Parkes quarter-Jansky sample (Appendix A)
#Column	PKS	(A9)	PKS (BHHMM-DDD) designation	[ucd=meta.id;meta.main]
#Column	S2.7GHz	(F5.2)	PKSCAT90 Flux density at 2.7GHz	[ucd=phot.flux.density;em.radio.1500-3000MHz]
#Column	_RA.icrs	(A10)	Right ascension (ICRS) (computed by VizieR; not part of the original data)	[ucd=pos.eq.ra]
#Column	_DE.icrs	(A9)	Declination (ICRS) (computed by VizieR; not part of the original data)	[ucd=pos.eq.dec]
PKS,S2.7GHz,_RA.icrs,_DE.icrs
 ,Jy,"h:m:s","d:m:s"
---------,-----,----------,---------
B0003-066, 1.46,00 06 13.9,-06 23 35
B0047-579, 1.96,00 49 59.3,-57 38 27
B0048-097, 1.44,00 50 41.3,-09 29 05
B0106+013, 4.24,01 08 38.7,+01 35 00
B0108-079, 1.02,01 10 50.0,-07 41 41
B0113-118, 1.78,01 16 12.5,-11 36 16
B0122-003, 1.19,01 25 28.9,-00 05 56
B0123-016, 2.17,01 26 00.3,-01 20 42
B0131-522, 1.09,01 33 05.7,-52 00 03
B0135-247, 1.37,01 37 38.3,-24 30 54
B0202-172, 1.40,02 04 57.7,-17 01 19
B0208-512, 3.56,02 10 46.3,-51 01 00
B0302-623, 1.11,03 03 50.5,-62 11 24
B0332-403, 1.96,03 34 13.6,-40 08 25
B0336-019, 2.58,03 39 30.9,-01 46 36
B0346-279, 1.10,03 48 38.1,-27 49 14
B0400-319, 1.14,04 02 21.3,-31 47 26
B0402-362, 1.04,04 03 53.7,-36 05 02
B0403-132, 3.15,04 05 34.0,-13 08 15
B0405-385, 1.02,04 06 59.1,-38 26 27
B0414-189, 1.18,04 16 36.5,-18 51 09
B0420-014, 2.14,04 23 15.8,-01 20 33
B0422+004, 1.28,04 24 46.8,+00 36 07
B0426-380, 1.04,04 28 40.4,-37 56 19
B0434-188, 1.05,04 37 01.5,-18 44 48
B0437-454, 1.22,04 39 00.8,-45 22 22
B0438-436, 6.50,04 40 17.2,-43 33 08
B0451-282, 2.38,04 53 14.6,-28 07 37
B0454-234, 1.76,04 57 03.2,-23 24 52
B0458-020, 1.89,05 01 12.8,-01 59 14
B0500+019, 2.46,05 03 21.2,+02 03 05
B0511-220, 1.21,05 13 49.1,-21 59 16
B0525-127, 1.63,05 27 28.2,-12 41 49
B0528-250, 1.32,05 30 08.0,-25 03 29
B0537-441, 3.84,05 38 50.4,-44 05 09
B0605-063, 5.60,06 07 45.5,-06 23 07
B0605-085, 2.90,06 07 59.7,-08 34 50
B0607-157, 2.20,06 09 41.0,-15 42 40
B0637-752, 5.90,06 35 46.4,-75 16 16
B0736+017, 2.24,07 39 18.0,+01 37 04
B0743-006, 1.01,07 45 54.0,-00 44 18
B0800-098, 1.20,08 02 39.8,-09 58 11
B0805-077, 1.10,08 08 15.5,-07 51 10
B0834-201, 4.15,08 36 39.2,-20 16 59
B0859-140, 2.93,09 02 16.8,-14 15 31
B0919-260, 1.15,09 21 29.3,-26 18 44
B1032-199, 1.10,10 35 02.2,-20 11 34
B1034-293, 1.33,10 37 16.0,-29 34 03
B1055+018, 3.15,10 58 29.6,+01 33 59
B1057-797, 1.13,10 58 43.6,-80 03 54
B1104-445, 1.84,11 07 08.7,-44 49 08
B1127-145, 5.97,11 30 07.1,-14 49 27
B1136-135, 2.76,11 39 10.8,-13 50 47
B1143-245, 1.32,11 46 08.1,-24 47 33
B1144-379, 1.03,11 47 01.4,-38 12 12
B1145-071, 1.09,11 47 51.6,-07 24 42
B1148-001, 2.40,11 50 43.8,-00 23 54
B1213-172, 1.33,12 15 46.8,-17 31 45
B1226+023,40.90,12 29 06.6,+02 03 08
B1237-101, 1.35,12 39 43.1,-10 23 29
B1244-255, 1.34,12 46 46.8,-25 47 50
B1253-055,12.00,12 56 11.1,-05 47 22
B1255-316, 1.49,12 57 59.1,-31 55 17
B1334-127, 2.01,13 37 39.8,-12 57 25
B1349-145, 1.04,13 51 52.7,-14 49 15
B1424-418, 2.63,14 27 56.3,-42 06 19
B1451-375, 1.51,14 54 27.4,-37 47 33
B1504-166, 2.30,15 07 04.8,-16 52 30
B1508-055, 2.90,15 10 53.5,-05 43 06
B1510-089, 2.80,15 12 50.5,-09 06 00
B1514-241, 2.00,15 17 41.8,-24 22 20
B1519-273, 1.99,15 22 37.7,-27 30 11
B1549-790, 5.00,15 56 58.8,-79 14 04
B1550-269, 1.35,15 54 02.4,-27 04 40
B1555+001, 1.02,15 57 51.4,-00 01 50
B1610-771, 3.37,16 17 49.5,-77 17 18
