 IAU NAME ALT NAME   RA(J2000.0)     DEC(J2000.0)  RA ERROR DEC ERROR  CCF  EPOCH   FIRST   LAST        #   DELAY RATE    PRI
                   HR MN    SEC     DG MN ARC SEC  TIME SEC ARC SEC          MJD     MJD     MJD       EXP   OBS   OBS

 0003+380 $        00 05 57.175494  38 20 15.14882 0.000057 0.00045   0.000 48719.0 48719.0 48719.0      1    23    23     3
 0003-066 $        00 06 13.892882 -06 23 35.33431 0.000005 0.00010  -0.609 48633.7 47175.0 49252.0     33    93    93     2
 0007+106 IIIZW2   00 10 31.005868  10 58 29.50415 0.000021 0.00046   0.570 47818.0 47287.0 48564.0      8    66    66     2
 0007+171 $        00 10 33.990617  17 24 18.76178 0.000009 0.00019  -0.453 48600.9 47930.0 49032.0     13    38    38     2
 0008-264 $        00 11  1.246759 -26 12 33.37635 0.000023 0.00026  -0.692 48199.8 47684.0 48864.0      5    19    19     2
 0010+405 $        00 13 31.130229  40 51 37.14441 0.000037 0.00041   0.564 48768.4 48433.0 49120.0      5    52    52     2
 0013-005 $        00 16 11.088541 -00 15 12.44478 0.000008 0.00014  -0.755 48445.5 47393.0 49183.0     20   103   103     1
 0014+813 $        00 17  8.474822  81 35  8.13642 0.000028 0.00006  -0.055 48783.2 47022.0 49365.0     29   388   388     1
 0016+731 $        00 19 45.786357  73 27 30.01746 0.000009 0.00004  -0.153 48830.1 47164.0 49405.0    321 18156 18156     1
 0019+058 $        00 22 32.441191  06 08  4.26995 0.000015 0.00025  -0.872 48413.8 47393.0 48941.0     13    21    21     2
 0026+346 $        00 29 14.242673  34 56 32.24918 0.000061 0.00084   0.742 48012.9 47010.0 49175.0     10    51    51     2
 0039+230 $        00 42  4.545163  23 20  1.06120 0.000023 0.00039   0.396 48622.5 48327.0 48918.0      2    34    34     2
 0048-097 $        00 50 41.317383 -09 29  5.20948 0.000001 0.00005   0.010 48560.7 44772.0 49366.0    198  3765  3765     1
 0056-001 $        00 59  5.514919  00 06 51.62209 0.000033 0.00086   0.648 48488.5 47004.0 49176.0      8    70    70     2
 0059+581 $        01 02 45.762355  58 24 11.13684 0.000005 0.00004  -0.128 49078.0 48719.0 49366.0     58  7294  7294     1
 0106+013 $        01 08 38.771072  01 35  0.31767 0.000001 0.00005  -0.066 46890.7 44446.0 49322.0    787 15925 15925     1
 0108+388 $        01 11 37.316840  39 06 28.10395 0.000057 0.00044   0.000 49098.0 49098.0 49098.0      1    24    24     3
 0109+224 $        01 12  5.824705  22 44 38.78667 0.000016 0.00033   0.221 48618.4 48433.0 49063.0      5    82    82     1
 0111+021 $        01 13 43.144947  02 22 17.31674 0.000009 0.00016  -0.826 48337.5 47022.0 49120.0     22   138   138     2
 0112-017 $        01 15 17.099956 -01 27  4.57665 0.000003 0.00009  -0.546 48404.3 47277.0 49062.0     47   172   172     1
 0113-118 $        01 16 12.521970 -11 36 15.43280 0.000006 0.00013  -0.607 48596.8 47175.0 49176.0     22    71    71     2
 0116+319 $        01 19 35.000389  32 10 50.05851 0.001384 0.00813   0.000 48946.5 48918.0 48975.0      2     5     5     3
 0118-272 $        01 20 31.663411 -27 01 24.65218 0.000091 0.00062   0.000 47511.0 47511.0 47511.0      1     9     9     3
 0119+115 $        01 21 41.595029  11 49 50.41354 0.000003 0.00011  -0.486 48483.3 47393.0 49032.0     42   128   128     2
 0119+041 $        01 21 56.861693  04 22 24.73490 0.000001 0.00005   0.001 48549.8 46976.0 49405.0    767 15906 15906     1
 0123+257 $        01 26 42.792667  25 59  1.30111 0.000021 0.00034   0.392 48540.7 48327.0 48918.0      3    55    55     2
 0133+476 $        01 36 58.594786  47 51 29.10017 0.000004 0.00005  -0.049 48286.1 45137.0 49365.0    156  1669  1669     1
 0135-247 $        01 37 38.346351 -24 30 53.88472 0.000055 0.00036  -0.297 47661.5 47639.0 47684.0      2    19    19     2
 0134+329 3C48     01 37 41.299442  33 09 35.13466 0.000043 0.00056   0.589 48538.3 48193.0 49120.0      9    60    60     2
 0138-097 $        01 41 25.832060 -09 28 43.67325 0.000049 0.00043   0.000 46874.0 46874.0 46874.0      1    18    18     3
 0146+056 $        01 49 22.370912  05 55 53.56902 0.000009 0.00016  -0.743 48111.1 47287.0 49021.0     19    99    99     2
