J0319+4130 | *3C84 | Perseus A | PerA | NGC1275, radec J2000, 3:19:48.16010, 41:30:42.1031, (400.0 2000.0 1.398)
J0322-3712 | *Fornax A | ForA | CTA23 | NGC1316, radec J2000, 3:22:41.52, -37:12:33.5, (1200.0 2000.0 2.097)
J0437+2940 | *3C123, radec J2000, 4:37:4.38, 29:40:13.82, (1408.0 23780.0 2.525 0.246 -0.1638)
J0519-4546 | *Pictoris A | Pictor A | PicA, radec J2000, 5:19:49.69, -45:46:44.5, (635.0 5009.0 -1.265 3.036 -0.653)
J0534+2200 | *Taurus A | TauA | Crab | 3C144, radec J2000, 5:34:32, 22:0:52, (1400.0 10000.0 3.915 -0.299)
J0535-0523 | *Orion A | OriA | M42, radec J2000, 5:35:17.3, -5:23:28.0, (1000.0 10000.0 -0.429874080747 1.64134149914 -0.219515164089)
J0542+4951 | *3C147, radec J2000, 5:42:36.14, 49:51:7.23, (1408.0 23780.0 2.806 -0.140 -0.1031)
J0627-0553 | *3C161, radec J2000, 6:27:10.1, -5:53:4.77, (1408.0 10550.0 1.250 0.726 -0.2286)
J0918-1205 | *Hydra A | HydA | 3C218, radec J2000, 9:18:5.8, -12:5:44, (1408.0 10550.0 4.729 -1.025 0.0130)
J1229+0203 | *3C273, radec J2000, 12:29:6.699, 2:3:8.59, (1410.0 8400.0 10.0465955419 -4.90623613415 0.709890678937)
J1230+1223 | *Virgo A | VirA | 3C274, radec J2000, 12:30:49.42, 12:23:28.04, (1408.0 10550.0 4.484 -0.603 -0.0280)
J1256-0547 | *3C279, radec J2000, 12:56:11.167, -5:47:21.53, (1410.0 8400.0 -2.63293588849 2.11780853682 -0.300277548642)
J1325-4301 | *Centaurus A | CenA | NGC5128, radec J2000, 13:25:27.6, -43:1:9, (400.0 2000.0 5.08 -0.87)
J1331+3030 | *3C286, radec J2000, 13:31:8.3, 30:30:32.94, (1408.0 43200.0 0.956 0.584 -0.1644)
J1411+5212 | *3C295, radec J2000, 14:11:20.65, 52:12:9.14, (1408.0 32000.0 1.49 0.756 -0.2545)
J1459+7140 | *3C309.1, radec J2000, 14:59:7.58389, 71:40:19.8671, (1408.0 32000.0 2.617 -0.437 -0.0373)
J1651+0459 | *Hercules A | HercA | 3C348, radec J2000, 16:51:9, 4:59:34, (1408.0 10550.0 3.852 -0.361 -0.1053)
J1720-0058 | *3C353, radec J2000, 17:20:28.16, -00:58:46.6, (1408.0 10550.0 3.148 -0.157 -0.0911)
J1746-2851 | *Sagittarius A | SagA | CTB42, radec J2000, 17:46:6, -28:51:0, (1000.0 10000.0 4.32 -0.55)
J1819-6345 | B1814-637, radec J2000, 18:19:34.99, -63:45:48.1, (1410.0 8400.0 -4.75426521227 4.07633969758 -0.706529394122)
J1924-2914 | B1921-293, radec J2000, 19:24:51.06, -29:14:30.12,
J1939-6342, radec J2000, 19:39:25.03, -63:42:45.63, (900.0 10000.0 -30.767 26.491 -7.098 0.605)
