# ID                                | Gal l  Gal b  | RA(J2000)      dec(J2000) unc[arcsec] source            | redshift| NED Object type ~ 1400MHz fluz IRAS/X-ray    pnt  comment
PKS 0023-26  OB-238                 |  42.27 -84.17 | 00:25:49.16  -26:02:12.6   mas        VLBI 2.3/8.4 GHz  | z=0.32  | Sy                       9 Jy                ok   CSS src
PKS 0043-42                         | 306.61 -74.96 | 00:46:17.75  -42:07:51.5   1.25x1.25  2Mass             | z=0.12  | E, LINER                 8 Jy                ok   < ~4', FRII
3C 48                               | 133.96 -28.72 | 01:37:41.30  +33:09:35.1   mas        VLBI 2.3/8.4 GHz  | z=0.37  | Sy 1.5                  16 Jy     I, X       ok   <10", core dominated with faint ext'd em
PKS 0316+16  CTA 21                 | 166.64 -33.60 | 03:18:57.80  +16:28:32.7   mas        VLBI 2.3/8.4 GHz  | z=0.91  | QSO                      8 Jy                ok   ~compact, GPS src
Perseus A  NGC 1275  3C 84          | 150.58 -13.26 | 03:19:48.16  +41:30:42.1   mas        VLBI 2.3/8.4 GHz  | v=5264  | LIRG Sy 1.5 FRI cD      13 Jy     I, X       ok?  strong core & jet inside 10' radio halo, BLLAC, 
Fornax A  NGC 1316  PKS 0320-37     | 240.16 -56.69 | 03:22:41.51  -37:12:33.4   7.5x7.5    LV                | v=1760  | LINER S0              ~148 Jy     I, X       no   lobes ~ 1 deg, core low flux density, FRI core FRII lobes
3C 098  PKS 0356+10                 | 179.84 -31.05 | 03:58:54.43  +10:26:03.0   1.25x1.25  2M                | v=9130  | Sy 2 FRII NLRG          10 Jy                no   ~5', double lobes
PKS 0408-65                         | 278.64 -40.88 | 04:08:20.38  -65:45:09.1   mas        VLBI 2.3/8.4 GHz  | z=0.96  | BLLAC?                  15 Jy                ok   compact, GPS source
PKS 0410-75                         | 288.98 -36.13 | 04:08:49.07  -75:07:13.7   7.5x7.5    Molonglo 408 MHz  | z=0.69  | NLRG;                   14 Jy                ok   ~15"; FRII, lobe-domin, pol.
3C 123                              | 170.58 -11.66 | 04:37:04.38  +29:40:13.8   mas        VLBI 2.3/8.4 GHz  | z=0.22  | LERG, FRII,             47 Jy     X          ok   <1'
PKS 0438-43                         | 248.41 -41.57 | 04:40:17.18  -43:33:08.6   mas        VLBI 2.3/8.4 GHz  | z=2.86  | QSO;                     6 Jy     IRAS deep  ok   ~compact, 2-comp 
Pictor A  PKS 0518-45               | 251.60 -34.63 | 05:19:49.69  -45:46:44.5   1.25x1.25  MOST              | z=0.04  | LINER S0 pec            69 Jy     X          no   ~6', strong double lobes, FRII
3C 138  PKS 0518+16                 | 187.40 -11.34 | 05:21:09.89  +16:38:22.1   mas        VLBI 2.3/8.4 GHz  | z=0.76  | Sy 1.5, core-dom;        9 Jy     X          ok   compact <1", CSS src, pol, triple-comp, no flux var: flux calib
PKS 0521-36  ESO 362-G021           | 240.61 -32.72 | 05:22:57.99  -36:27:30.9   mas        VLBI 2.3/8.4 GHz  | z=0.06  | E, FRI, BLLAC Sy 1      17 Jy     I, X, Gam  ok   arcsec scale, core & jet
Taurus A  3C 144 Crab  PKS 0531+21  | 184.56  -5.78 | 05:34:31.97  +22:00:52.1   0.5x0.5    opt/psr           |         | SNR, Psr;              930 Jy     I, X, Gam  no   ~5' @ 160MHz, single comp
Orion A  M42  3C 145  PKS 0532-05   | 209.01 -19.38 | 05:35:17.26  -05:23:28.8   7.5x7.5    Molonglo 408MHz   |         | HII, *Cl,              410 Jy     X          no   < ~60'?
MC 74                               | 279.44 -31.67 | 05:38:43.50  -69:04:57.0  50x50       PKS               |         | HII, in 30 Dor;         34 Jy                no   prob ext'd
3C 147.1  PKS 0539-01               | 206.53 -16.36 | 05:41:42.12  -01:53:54.5  12.5x12.5   Molonglo 408 MHz  |         | HII;                    64 Jy                no   prob ext'd
3C 147                              | 161.69  10.30 | 05:42:36.14  +49:51:07.2   mas        VLBI 2.3/8.4 GHz  | z=0.55  | Sy 1.8                  22 Jy     X          ok   < ~2", core dom, faint ext'd 
3C 161  PKS 0624-05                 | 215.44  -8.07 | 06:27:10.12  -05:53:05.2   0.4x0.4    PKS90             |         | --                      18 Jy                ok?  VLA resolved, symm double
