0003+380,J0005+38,J0005+3820,00:05:57.175400, 38:20:15.1488700
0003-066,J0006-06,J0006-0623,00:06:13.892880,-06:23:35.3344000
0007+106,IIIZW2,J0010+1058,00:10:31.005867, 10:58:29.5037360
0007+171,J0010+17,J0010+1724,00:10:33.990608, 17:24:18.7617230
0008-421,J0010-41,J0010-4153,00:10:52.519257,-41:53:10.7861530
0008-264,J0011-26,J0011-2612,00:11:01.246772,-26:12:33.3766400
0010+405,J0013+40,J0013+4051,00:13:31.130178, 40:51:37.1440280
0012+609,0012+610,J0014+6115,00:14:48.848700, 61:15:35.6180000
0013-005,J0016-00,J0016-0015,00:16:11.088541,-00:15:12.4448190
0014+813,J0017+81,J0017+8135,00:17:08.474789, 81:35:08.1364260
0016-129,J0018-12,J0018-1242,00:18:51.400100,-12:42:33.2140000
0016+731,J0019+73,J0019+7327,00:19:45.786343, 73:27:30.0175000
0017+154,J0020+15,J0020+1541,00:20:25.318000, 15:41:26.5800000
0019-000,J0022+00,J0022+0014,00:22:25.429600, 00:14:56.1280000
0019+058,J0022+06,J0022+0608,00:22:32.441193, 06:08:04.2698780
0022-423,J0024-42,J0024-4202,00:24:42.989868,-42:02:03.9526560
0022+390,J0025+39,J0025+3919,00:25:26.154400, 39:19:35.4000000
0023-263,J0025-26,J0025-2602,00:25:49.168300,-26:02:12.6950000
0024+348,J0026+35,J0026+3508,00:26:41.723587, 35:08:42.3177910
0026+346,J0029+34,J0029+3456,00:29:14.242541, 34:56:32.2474440
0032-203,J0035-20,J0035-2003,00:35:08.783600,-20:03:59.6640000
0035+413,J0038+41,J0038+4137,00:38:24.843615, 41:37:06.0007050
0036-216,J0038-21,J0038-2120,00:38:29.952400,-21:20:04.0270000
0038+328,J0040+33,J0040+3310,00:40:55.059600, 33:10:08.2670000
0038-020,J0040-01,J0040-0146,00:40:57.614500,-01:46:32.0620000
0039+230,J0042+23,J0042+2320,00:42:04.545139, 23:20:01.0611960
0039-445,J0042-44,J0042-4414,00:42:09.422200,-44:14:15.5810000
0041+660,J0044+66,J0044+6618,00:44:41.256300, 66:18:41.1050000
0042-357,J0044-35,J0044-3530,00:44:41.229400,-35:30:41.6280000
0047-579,J0049-57,J0049-5738,00:49:59.473110,-57:38:27.3398210
0048-097,J0050-09,J0050-0929,00:50:41.317387,-09:29:05.2095960
0048-071,J0051-06,J0051-0650,00:51:08.201700,-06:50:01.9300000
0051-038,J0054-03,J0054-0333,00:54:08.446500,-03:33:55.3630000
0055+300,J0057+30,J0057+3021,00:57:48.886300, 30:21:08.7850000
0056-572,J0058-56,J0058-5659,00:58:46.581268,-56:59:11.4703760
0056-001,J0059+00,J0059+0006,00:59:05.514900, 00:06:51.6218910
0056-172,J0059-17,J0059-1700,00:59:06.684500,-17:00:38.5220000
0059+581,J0102+58,J0102+5824,01:02:45.762352, 58:24:11.1368290
0102+480,J0105+48,J0105+4819,01:05:49.925300, 48:19:03.1190000
0104-408,J0106-40,J0106-4034,01:06:45.107990,-40:34:19.9597260
0106+013,J0108+01,J0108+0135,01:08:38.771076, 01:35:00.3176690
0107+562,J0110+56,J0110+5632,01:10:57.561000, 56:32:16.9320000
0108-079,J0110-07,J0110-0741,01:10:50.017300,-07:41:41.2180000
0108+388,J0111+39,J0111+3906,01:11:37.316757, 39:06:28.1038320
0109+224,J0112+22,J0112+2244,01:12:05.824710, 22:44:38.7865450
0111+021,J0113+02,J0113+0222,01:13:43.144939, 02:22:17.3167570
0110+495,J0113+49,J0113+4948,01:13:27.006805, 49:48:24.0435140
0111+481,J0114+48,J0114+4823,01:14:23.509200, 48:23:53.0560000
0112-017,J0115-01,J0115-0127,01:15:17.099958,-01:27:04.5767450
0113-118,J0116-11,J0116-1136,01:16:12.521972,-11:36:15.4329210
0114-211,J0116-20,J0116-2052,01:16:51.404300,-20:52:06.8130000
0116-219,J0118-21,J0118-2141,01:18:57.263500,-21:41:30.0280000
0116+319,J0119+32,J0119+3210,01:19:35.000126, 32:10:50.0585100
0117-155,J0120-15,J0120-1520,01:20:27.197200,-15:20:16.6310000
0118-272,J0120-27,J0120-2701,01:20:31.663412,-27:01:24.6517660
0119+041,J0121+04,J0121+0422,01:21:56.861694, 04:22:24.7348540
0119+115,J0121+11,J0121+1149,01:21:41.595028, 11:49:50.4135320
0119+247,J0122+25,J0122+2502,01:22:38.819800, 25:02:31.7570000
0123+257,J0126+25,J0126+2559,01:26:42.792629, 25:59:01.3010830
0127+233,J0129+23,J0129+2338,01:29:59.801300, 23:38:20.7280000
0130-171,J0132-16,J0132-1654,01:32:43.488200,-16:54:48.6720000
0131-522,J0133-52,J0133-5200,01:33:05.762608,-52:00:03.9457620
0132-097,J0134-09,J0134-0931,01:34:35.667600,-09:31:03.0720000
0132+079,J0135+08,J0135+0811,01:35:14.999400, 08:11:07.1060000
0133-203,0133-204,J0135-2008,01:35:37.508600,-20:08:45.8870000
0133+476,J0136+47,J0136+4751,01:36:58.594780, 47:51:29.1002200
0134+329,3C48,J0137+3309,01:37:41.299465, 33:09:35.1342160
0135-247,J0137-24,J0137-2430,01:37:38.346363,-24:30:53.8848420
0138+136,J0141+13,J0141+1353,01:41:09.154500, 13:53:28.0330000
0138-097,J0141-09,J0141-0928,01:41:25.832041,-09:28:43.6732980
0139-273,J0141-27,J0141-2706,01:41:27.191300,-27:06:07.1250000
0142-278,J0145-27,J0145-2733,01:45:03.397100,-27:33:34.3250000
0146+056,J0149+05,J0149+0555,01:49:22.370918, 05:55:53.5688400
0147+187,J0149+18,J0149+1857,01:49:49.727700, 18:57:20.5110000
0147-076,J0150-07,J0150-0725,01:50:02.697095,-07:25:48.4976920
0148+274,J0151+27,J0151+2744,01:51:27.146141, 27:44:41.7938610
0149+218,J0152+22,J0152+2207,01:52:18.059034, 22:07:07.7003620
0150-334,J0153-33,J0153-3310,01:53:10.121702,-33:10:25.8612880
0153-410,J0155-40,J0155-4048,01:55:37.059334,-40:48:42.3577500
0153+744,J0157+74,J0157+7442,01:57:34.964836, 74:42:43.2309110
0155-109,J0157-10,J0157-1043,01:57:41.528000,-10:43:40.4080000
0159-117,J0201-11,J0201-1132,02:01:57.164700,-11:32:33.1330000
0202-765,J0202-76,J0202-7620,02:02:13.694642,-76:20:03.0563210
0201+113,J0203+11,J0203+1134,02:03:46.657047, 11:34:45.4101300
0159+723,J0203+72,J0203+7232,02:03:33.384914, 72:32:53.6675340
0201-440,J0203-43,J0203-4349,02:03:40.754300,-43:49:50.7830000
0202+149,J0204+15,J0204+1514,02:04:50.413902, 15:14:11.0437520
0202-172,J0204-17,J0204-1701,02:04:57.674355,-17:01:19.8395040
0202+319,J0205+32,J0205+3212,02:05:04.925359, 32:12:30.0959530
0208-512,J0210-51,J0210-5101,02:10:46.200436,-51:01:01.8915450
0213-026,J0215-02,J0215-0222,02:15:42.013200,-02:22:56.8380000
0215+015,J0217+01,J0217+0144,02:17:48.954727, 01:44:49.6998410
0212+735,J0217+73,J0217+7349,02:17:30.813272, 73:49:32.6220090
0216+011,J0219+01,J0219+0120,02:19:07.028400, 01:20:59.6790000
0218-021,J0220-01,J0220-0156,02:20:54.149400,-01:56:53.6410000
0218+357,J0221+35,J0221+3556,02:21:05.473300, 35:56:13.7910000
0219+428,J0222+43,J0222+4302,02:22:39.611477, 43:02:07.7992780
0220-349,J0222-34,J0222-3441,02:22:56.401554,-34:41:28.7292860
0220+397,J0223+40,J0223+4000,02:23:42.795800, 40:00:54.2640000
0221+067,J0224+06,J0224+0659,02:24:28.428179, 06:59:23.3422200
0221+276,J0224+27,J0224+2750,02:24:12.297300, 27:50:12.0160000
0224+671,4C67.05,J0228+6721,02:28:50.051487, 67:21:03.0296660
0223+774,J0229+77,J0229+7743,02:29:14.711500, 77:43:16.1130000
0230-790,J0229-78,J0229-7847,02:29:34.946701,-78:47:45.6008800
0229+131,J0231+13,J0231+1322,02:31:45.894054, 13:22:54.7168240
0229-398,J0231-39,J0231-3935,02:31:51.788600,-39:35:45.7440000
0234+285,J0237+28,J0237+2848,02:37:52.405666, 28:48:08.9904680
0235+164,J0238+16,J0238+1636,02:38:38.930099, 16:36:59.2751880
0237+040,J0239+04,J0239+0416,02:39:51.263039, 04:16:21.4124740
0237-027,J0239-02,J0239-0234,02:39:45.472279,-02:34:40.9129220
0237-233,J0240-23,J0240-2309,02:40:08.174568,-23:09:15.7305450
0238-084,J0241-08,J0241-0815,02:41:04.798539,-08:15:20.7512840
